eps_mode,variant,weeks,valid_return_weeks,missing_path_weeks,positive_weeks,negative_weeks,flat_weeks,positive_week_rate,negative_week_rate,weeks_with_less_than_3_picks
no_eps,v3_core_top3,40,35,5,34,1,0,0.9714285714285714,0.02857142857142857,6
no_eps,skill_industry_eps_known,0,0,0,0,0,0,0.0,0.0,0
no_eps,clean_eps_pass_no_dry_no_geom_caution,0,0,0,0,0,0,0.0,0.0,0
no_eps,signal_shadow_top3,42,41,1,39,2,0,0.9512195121951219,0.04878048780487805,0
no_eps,research_fresh_demand_proximity_first,40,35,5,33,2,0,0.9428571428571428,0.05714285714285714,10
no_eps,research_pullback_vcp_lane_interleave,40,35,5,32,3,0,0.9142857142857143,0.08571428571428572,10
no_eps,research_proximity_structural_floor_guard,36,28,8,27,1,0,0.9642857142857143,0.03571428571428571,10
no_eps,research_proximity_eps_known_floor_guard,0,0,0,0,0,0,0.0,0.0,0
no_eps,research_proximity_eps_pass_floor_guard,0,0,0,0,0,0,0.0,0.0,0
no_eps,signal_core_quality_top3,40,35,5,34,1,0,0.9714285714285714,0.02857142857142857,10
no_eps,signal_core_quality_no_industry,40,35,5,34,1,0,0.9714285714285714,0.02857142857142857,6
no_eps,signal_core_quality_eps_known,0,0,0,0,0,0,0.0,0.0,0
no_eps,signal_core_quality_eps_pass,0,0,0,0,0,0,0.0,0.0,0
no_eps,signal_core_quality_proximity_eps_known,0,0,0,0,0,0,0.0,0.0,0
with_eps,v3_core_top3,40,34,6,32,2,0,0.9411764705882353,0.058823529411764705,6
with_eps,skill_industry_eps_known,40,34,6,33,1,0,0.9705882352941176,0.029411764705882353,10
with_eps,clean_eps_pass_no_dry_no_geom_caution,38,29,9,28,1,0,0.9655172413793104,0.034482758620689655,9
with_eps,signal_shadow_top3,42,40,2,38,2,0,0.95,0.05,0
with_eps,research_fresh_demand_proximity_first,40,34,6,32,2,0,0.9411764705882353,0.058823529411764705,10
with_eps,research_pullback_vcp_lane_interleave,40,35,5,30,5,0,0.8571428571428571,0.14285714285714285,10
with_eps,research_proximity_structural_floor_guard,36,28,8,27,1,0,0.9642857142857143,0.03571428571428571,10
with_eps,research_proximity_eps_known_floor_guard,36,28,8,28,0,0,1.0,0.0,10
with_eps,research_proximity_eps_pass_floor_guard,31,23,8,23,0,0,1.0,0.0,8
with_eps,signal_core_quality_top3,40,34,6,32,2,0,0.9411764705882353,0.058823529411764705,10
with_eps,signal_core_quality_no_industry,40,34,6,32,2,0,0.9411764705882353,0.058823529411764705,6
with_eps,signal_core_quality_eps_known,40,34,6,33,1,0,0.9705882352941176,0.029411764705882353,10
with_eps,signal_core_quality_eps_pass,38,28,10,27,1,0,0.9642857142857143,0.03571428571428571,9
with_eps,signal_core_quality_proximity_eps_known,40,34,6,33,1,0,0.9705882352941176,0.029411764705882353,10
