eps_mode,variant,rule,entry_status,universe_top5,picks,top5_picks,gain5_picks,bottom5_picks,stop_picks
no_eps,v3_core_top3,ceiling,ACTIONABLE,16,72,4,6,11,11
no_eps,v3_core_top3,ceiling,EXTENDED,28,0,0,0,0,0
no_eps,v3_core_top3,ceiling,UNCONFIRMED,21,0,0,0,0,0
no_eps,v3_core_top3,ceiling_pullback,ACTIONABLE,2,4,1,1,2,1
no_eps,v3_core_top3,ceiling_pullback,EXTENDED,3,0,0,0,0,0
no_eps,v3_core_top3,ceiling_pullback,UNCONFIRMED,4,0,0,0,0,0
no_eps,v3_core_top3,ma10_touch_confirm,ACTIONABLE,8,15,2,2,2,5
no_eps,v3_core_top3,ma10_touch_confirm,EXTENDED,10,0,0,0,0,0
no_eps,v3_core_top3,ma10_touch_confirm,UNCONFIRMED,32,0,0,0,0,0
no_eps,v3_core_top3,pivot,ACTIONABLE,13,14,4,4,2,1
no_eps,v3_core_top3,pivot,EXTENDED,22,0,0,0,0,0
no_eps,v3_core_top3,pivot,UNCONFIRMED,43,0,0,0,0,0
no_eps,v3_core_top3,three_weeks_tight,ACTIONABLE,1,1,0,0,0,0
no_eps,v3_core_top3,three_weeks_tight,EXTENDED,1,0,0,0,0,0
no_eps,v3_core_top3,three_weeks_tight,UNCONFIRMED,1,0,0,0,0,0
no_eps,skill_industry_eps_known,ceiling,ACTIONABLE,16,0,0,0,0,0
no_eps,skill_industry_eps_known,ceiling,EXTENDED,28,0,0,0,0,0
no_eps,skill_industry_eps_known,ceiling,UNCONFIRMED,21,0,0,0,0,0
no_eps,skill_industry_eps_known,ceiling_pullback,ACTIONABLE,2,0,0,0,0,0
no_eps,skill_industry_eps_known,ceiling_pullback,EXTENDED,3,0,0,0,0,0
no_eps,skill_industry_eps_known,ceiling_pullback,UNCONFIRMED,4,0,0,0,0,0
no_eps,skill_industry_eps_known,ma10_touch_confirm,ACTIONABLE,8,0,0,0,0,0
no_eps,skill_industry_eps_known,ma10_touch_confirm,EXTENDED,10,0,0,0,0,0
no_eps,skill_industry_eps_known,ma10_touch_confirm,UNCONFIRMED,32,0,0,0,0,0
no_eps,skill_industry_eps_known,pivot,ACTIONABLE,13,0,0,0,0,0
