eps_mode,variant,backtest_engine,initial_capital,stop_loss_pct,input_picks,requested_symbols,loaded_symbols,final_value,total_return_pct,max_drawdown_pct,trade_events,stop_events,rebalance_events,start_date,end_date
no_eps,v3_core_top3,backtrader,10000.0,8.0,106,100,62,13354.292000000009,33.54292000000007,-19.920964222031333,121,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_def_keep_strict,backtrader,10000.0,8.0,101,97,61,13651.948000000008,36.51948000000007,-16.990857121873383,118,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_def_keep_relaxed,backtrader,10000.0,8.0,101,97,61,13651.948000000008,36.51948000000007,-16.990857121873383,118,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_def_nodry_strict,backtrader,10000.0,8.0,87,84,52,13199.216799999995,31.992167999999953,-10.849521440755217,95,3,37,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_def_nodry_relaxed,backtrader,10000.0,8.0,101,97,61,13651.948000000008,36.51948000000007,-16.990857121873383,118,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_def_nogeom_strict,backtrader,10000.0,8.0,96,94,58,16461.804000000004,64.61804000000004,-17.0429095328972,113,5,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_def_nogeom_relaxed,backtrader,10000.0,8.0,101,99,60,15130.306000000004,51.303060000000045,-16.990857121873383,113,5,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_def_clean_strict,backtrader,10000.0,8.0,83,82,49,16466.0032,64.66003199999999,-10.869418044525458,83,2,36,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_def_clean_relaxed,backtrader,10000.0,8.0,101,99,60,16165.226000000002,61.65226000000001,-16.990857121873383,109,5,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_prox_keep_strict,backtrader,10000.0,8.0,101,97,60,16979.4328,69.79432799999998,-16.97071922138511,120,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_prox_keep_relaxed,backtrader,10000.0,8.0,101,97,60,16979.4328,69.79432799999998,-16.97071922138511,120,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_prox_nodry_strict,backtrader,10000.0,8.0,87,84,51,16094.4604,60.94460399999999,-10.873665016931477,95,3,37,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_prox_nodry_relaxed,backtrader,10000.0,8.0,101,97,60,16979.4328,69.79432799999998,-16.97071922138511,120,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_prox_nogeom_strict,backtrader,10000.0,8.0,96,94,58,13862.270000000004,38.62270000000003,-16.868050939312273,113,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_prox_nogeom_relaxed,backtrader,10000.0,8.0,101,99,60,14346.106000000003,43.46106000000003,-16.97071922138511,117,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_prox_clean_strict,backtrader,10000.0,8.0,83,82,49,14722.627199999999,47.22627199999998,-14.748445951400669,83,2,36,2025-10-24,2026-08-21
no_eps,grid_act_noeps_ind_prox_clean_relaxed,backtrader,10000.0,8.0,101,99,60,16748.453200000004,67.48453200000004,-16.97071922138511,115,6,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_def_keep_strict,backtrader,10000.0,8.0,106,100,62,13354.292000000009,33.54292000000007,-19.920964222031333,121,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_def_keep_relaxed,backtrader,10000.0,8.0,106,100,62,13354.292000000009,33.54292000000007,-19.920964222031333,121,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_def_nodry_strict,backtrader,10000.0,8.0,89,85,53,12362.709599999996,23.62709599999997,-17.0035768816698,100,3,37,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_def_nodry_relaxed,backtrader,10000.0,8.0,106,100,62,13354.292000000009,33.54292000000007,-19.920964222031333,121,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_def_nogeom_strict,backtrader,10000.0,8.0,100,96,59,13843.076800000003,38.43076800000003,-19.78585385681475,113,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_def_nogeom_relaxed,backtrader,10000.0,8.0,106,102,61,14317.708800000004,43.17708800000004,-19.920964222031333,117,7,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_def_clean_strict,backtrader,10000.0,8.0,86,84,50,14230.805599999996,42.30805599999996,-17.00303520498655,83,2,36,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_def_clean_relaxed,backtrader,10000.0,8.0,106,102,60,15664.591200000004,56.645912000000045,-19.920964222031333,113,6,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_prox_keep_strict,backtrader,10000.0,8.0,106,101,62,15670.192400000007,56.70192400000007,-19.92545397677269,119,6,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_prox_keep_relaxed,backtrader,10000.0,8.0,106,101,62,15670.192400000007,56.70192400000007,-19.92545397677269,119,6,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_prox_nodry_strict,backtrader,10000.0,8.0,89,86,53,13885.133199999997,38.85133199999997,-17.009784364016344,94,3,37,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_prox_nodry_relaxed,backtrader,10000.0,8.0,106,101,62,15670.192400000007,56.70192400000007,-19.92545397677269,119,6,40,2025-10-24,2026-08-21
no_eps,grid_act_noeps_noind_prox_nogeom_strict,backtrader,10000.0,8.0,100,97,60,14092.2396,40.922396000000006,-19.799106945488308,117,7,40,2025-10-24,2026-08-21
