eps_mode,variant,date,code,event,side,size,price,value,commission,portfolio_value,snapshot_date,target_codes
no_eps,v3_core_top3,2025-10-27,,rebalance,,0.0,0.0,0.0,0.0,10000.0,2025-10-24,AAPL
no_eps,v3_core_top3,2025-10-27,AAPL,rebalance_buy,buy,37.0,263.91,9764.67,0.0,10144.67,,
no_eps,v3_core_top3,2025-11-03,,rebalance,,0.0,0.0,0.0,0.0,10202.02,2025-10-31,VTR
no_eps,v3_core_top3,2025-11-03,AAPL,rebalance_sell,sell,-37.0,269.42,9764.67,0.0,10350.869999999999,,
no_eps,v3_core_top3,2025-11-03,VTR,rebalance_buy,buy,140.0,71.73,10042.2,0.0,10350.869999999999,,
no_eps,v3_core_top3,2025-11-10,,rebalance,,0.0,0.0,0.0,0.0,10618.269999999999,2025-11-07,
no_eps,v3_core_top3,2025-11-10,VTR,rebalance_sell,sell,-140.0,74.44,10042.2,0.0,10583.269999999999,,
no_eps,v3_core_top3,2025-11-17,,rebalance,,0.0,0.0,0.0,0.0,10583.269999999999,2025-11-14,"ALL,LH"
no_eps,v3_core_top3,2025-11-17,ALL,rebalance_buy,buy,25.0,211.99,5299.75,0.0,10349.569999999998,,
no_eps,v3_core_top3,2025-11-17,LH,rebalance_buy,buy,20.0,263.62,5272.4,0.0,10349.569999999998,,
no_eps,v3_core_top3,2025-11-24,,rebalance,,0.0,0.0,0.0,0.0,10560.169999999998,2025-11-21,
no_eps,v3_core_top3,2025-11-24,ALL,rebalance_sell,sell,-25.0,211.85,5299.75,0.0,10627.969999999998,,
no_eps,v3_core_top3,2025-11-24,LH,rebalance_sell,sell,-20.0,266.03,5272.4,0.0,10627.969999999998,,
no_eps,v3_core_top3,2025-12-01,,rebalance,,0.0,0.0,0.0,0.0,10627.969999999998,2025-11-28,ROST
no_eps,v3_core_top3,2025-12-01,ROST,rebalance_buy,buy,60.0,174.38,10462.8,0.0,10747.969999999998,,
no_eps,v3_core_top3,2025-12-08,,rebalance,,0.0,0.0,0.0,0.0,10769.57,2025-12-05,
no_eps,v3_core_top3,2025-12-08,ROST,rebalance_sell,sell,-60.0,177.21,10462.8,0.0,10797.769999999999,,
no_eps,v3_core_top3,2025-12-22,,rebalance,,0.0,0.0,0.0,0.0,10797.769999999999,2025-12-19,"SCHW,MU"
no_eps,v3_core_top3,2025-12-22,MU,rebalance_buy,buy,19.0,276.88,5260.72,0.0,10884.119999999999,,
no_eps,v3_core_top3,2025-12-22,SCHW,rebalance_buy,buy,53.0,98.58,5224.74,0.0,10884.119999999999,,
no_eps,v3_core_top3,2025-12-29,,rebalance,,0.0,0.0,0.0,0.0,11065.169999999998,2025-12-26,HEI
no_eps,v3_core_top3,2026-01-05,,rebalance,,0.0,0.0,0.0,0.0,11632.079999999998,2026-01-02,"TSM,ASML"
no_eps,v3_core_top3,2026-01-05,MU,rebalance_sell,sell,-19.0,324.94,5260.72,0.0,11679.41,,
no_eps,v3_core_top3,2026-01-05,SCHW,rebalance_sell,sell,-53.0,100.73999999999998,5224.74,0.0,11679.41,,
no_eps,v3_core_top3,2026-01-05,TSM,rebalance_buy,buy,18.0,328.7,5916.599999999999,0.0,11679.41,,
no_eps,v3_core_top3,2026-01-12,,rebalance,,0.0,0.0,0.0,0.0,11704.25,2026-01-09,GH
no_eps,v3_core_top3,2026-01-20,,rebalance,,0.0,0.0,0.0,0.0,12040.31,2026-01-16,
no_eps,v3_core_top3,2026-01-20,TSM,rebalance_sell,sell,-18.0,339.04,5916.599999999999,0.0,12011.51,,
no_eps,v3_core_top3,2026-01-26,,rebalance,,0.0,0.0,0.0,0.0,12011.51,2026-01-23,MTB
no_eps,v3_core_top3,2026-01-26,MTB,rebalance_buy,buy,56.0,210.87000000000003,11808.720000000001,0.0,12035.029999999999,,
no_eps,v3_core_top3,2026-02-02,,rebalance,,0.0,0.0,0.0,0.0,12439.35,2026-01-30,AAPL
no_eps,v3_core_top3,2026-02-02,MTB,rebalance_sell,sell,-56.0,218.12999999999997,11808.720000000001,0.0,12418.07,,
no_eps,v3_core_top3,2026-02-17,,rebalance,,0.0,0.0,0.0,0.0,12418.07,2026-02-13,WULF
no_eps,v3_core_top3,2026-02-17,WULF,rebalance_buy,buy,767.0,15.780000000000001,12103.26,0.0,12724.869999999999,,
no_eps,v3_core_top3,2026-02-19,WULF,stop,sell,-767.0,14.5176,12103.26,0.0,11449.8092,,
no_eps,v3_core_top3,2026-02-23,,rebalance,,0.0,0.0,0.0,0.0,11449.8092,2026-02-20,"FANG,HEI"
no_eps,v3_core_top3,2026-02-23,FANG,rebalance_buy,buy,33.0,173.31,5719.2300000000005,0.0,11326.439199999997,,
no_eps,v3_core_top3,2026-02-23,HEI,rebalance_buy,buy,16.0,348.88,5582.08,0.0,11326.439199999997,,
no_eps,v3_core_top3,2026-02-26,HEI,stop,sell,-16.0,312.56,5582.08,0.0,10567.3992,,
no_eps,v3_core_top3,2026-03-02,,rebalance,,0.0,0.0,0.0,0.0,10797.7392,2026-02-27,WULF
no_eps,v3_core_top3,2026-03-02,FANG,rebalance_sell,sell,-33.0,178.15,5719.2300000000005,0.0,11345.189199999999,,
no_eps,v3_core_top3,2026-03-02,WULF,rebalance_buy,buy,674.0,15.55,10480.7,0.0,11345.189199999999,,
no_eps,v3_core_top3,2026-03-06,WULF,stop,sell,-674.0,14.306000000000001,10480.7,0.0,10189.9532,,
no_eps,v3_core_top3,2026-03-09,,rebalance,,0.0,0.0,0.0,0.0,10189.9532,2026-03-06,RTX
no_eps,v3_core_top3,2026-03-16,,rebalance,,0.0,0.0,0.0,0.0,10189.9532,2026-03-13,DOCN
no_eps,v3_core_top3,2026-03-16,DOCN,rebalance_buy,buy,141.0,69.36,9779.76,0.0,10563.6032,,
no_eps,v3_core_top3,2026-03-23,,rebalance,,0.0,0.0,0.0,0.0,12063.843200000001,2026-03-20,
no_eps,v3_core_top3,2026-03-23,DOCN,rebalance_sell,sell,-141.0,83.62,9779.76,0.0,12200.613200000002,,
no_eps,v3_core_top3,2026-03-30,,rebalance,,0.0,0.0,0.0,0.0,12200.613200000002,2026-03-27,"DELL,CASY"
no_eps,v3_core_top3,2026-03-30,CASY,rebalance_buy,buy,8.0,711.72,5693.76,0.0,11838.503200000001,,
