eps_mode,variant,rule,entry_status,universe_top5,picks,top5_picks,gain5_picks,bottom5_picks,stop_picks
no_eps,v3_core_top3,ceiling,ACTIONABLE,16,72,4,6,11,11
no_eps,v3_core_top3,ceiling,EXTENDED,28,0,0,0,0,0
no_eps,v3_core_top3,ceiling,UNCONFIRMED,21,0,0,0,0,0
no_eps,v3_core_top3,ceiling_pullback,ACTIONABLE,2,4,1,1,2,1
no_eps,v3_core_top3,ceiling_pullback,EXTENDED,3,0,0,0,0,0
no_eps,v3_core_top3,ceiling_pullback,UNCONFIRMED,4,0,0,0,0,0
no_eps,v3_core_top3,ma10_touch_confirm,ACTIONABLE,8,15,2,2,2,5
no_eps,v3_core_top3,ma10_touch_confirm,EXTENDED,10,0,0,0,0,0
no_eps,v3_core_top3,ma10_touch_confirm,UNCONFIRMED,32,0,0,0,0,0
no_eps,v3_core_top3,pivot,ACTIONABLE,13,14,4,4,2,1
no_eps,v3_core_top3,pivot,EXTENDED,22,0,0,0,0,0
no_eps,v3_core_top3,pivot,UNCONFIRMED,43,0,0,0,0,0
no_eps,v3_core_top3,three_weeks_tight,ACTIONABLE,1,1,0,0,0,0
no_eps,v3_core_top3,three_weeks_tight,EXTENDED,1,0,0,0,0,0
no_eps,v3_core_top3,three_weeks_tight,UNCONFIRMED,1,0,0,0,0,0
no_eps,grid_act_noeps_ind_def_keep_strict,ceiling,ACTIONABLE,16,71,5,7,11,11
no_eps,grid_act_noeps_ind_def_keep_strict,ceiling,EXTENDED,28,0,0,0,0,0
no_eps,grid_act_noeps_ind_def_keep_strict,ceiling,UNCONFIRMED,21,0,0,0,0,0
no_eps,grid_act_noeps_ind_def_keep_strict,ceiling_pullback,ACTIONABLE,2,4,1,1,2,1
no_eps,grid_act_noeps_ind_def_keep_strict,ceiling_pullback,EXTENDED,3,0,0,0,0,0
no_eps,grid_act_noeps_ind_def_keep_strict,ceiling_pullback,UNCONFIRMED,4,0,0,0,0,0
no_eps,grid_act_noeps_ind_def_keep_strict,ma10_touch_confirm,ACTIONABLE,8,15,2,2,2,5
no_eps,grid_act_noeps_ind_def_keep_strict,ma10_touch_confirm,EXTENDED,10,0,0,0,0,0
