eps_mode,variant,backtest_engine,initial_capital,stop_loss_pct,input_picks,requested_symbols,loaded_symbols,final_value,total_return_pct,max_drawdown_pct,trade_events,stop_events,rebalance_events,start_date,end_date
with_eps,skill_industry_eps_known,backtrader,10000.0,8.0,101,98,61,15470.502799999998,54.70502799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,signal_core_quality_eps_pass,backtrader,10000.0,8.0,88,84,54,16364.43,63.64430000000001,-11.268163007446198,110,3,38,2025-10-24,2026-08-21
with_eps,clean_eps_pass_no_dry_no_geom_caution,backtrader,10000.0,8.0,88,82,53,18198.789999999997,81.98789999999998,-6.608368436601408,113,2,38,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_def_top1,backtrader,10000.0,8.0,40,40,24,11573.1084,15.731083999999985,-11.80094800817405,60,2,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_def_top2,backtrader,10000.0,8.0,75,74,47,14370.963199999998,43.70963199999998,-16.842362408899646,104,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_def_top3,backtrader,10000.0,8.0,101,98,61,15470.502799999998,54.70502799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_prox_top1,backtrader,10000.0,8.0,40,39,23,12182.4316,21.82431599999999,-19.358220209093613,67,3,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_prox_top2,backtrader,10000.0,8.0,75,73,46,13705.205999999998,37.05205999999998,-16.842362408899646,102,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_prox_top3,backtrader,10000.0,8.0,101,98,62,15309.675599999999,53.09675599999999,-16.901371762076632,115,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_def_top1,backtrader,10000.0,8.0,40,40,24,11573.1084,15.731083999999985,-11.80094800817405,60,2,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_def_top2,backtrader,10000.0,8.0,76,75,46,13488.333999999999,34.88334,-18.221319021642834,104,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_def_top3,backtrader,10000.0,8.0,105,102,65,14418.450400000003,44.184504000000025,-16.901371762076632,109,6,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_prox_top1,backtrader,10000.0,8.0,40,39,23,12182.4316,21.82431599999999,-19.358220209093613,67,3,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_prox_top2,backtrader,10000.0,8.0,76,75,46,13112.249600000003,31.122496000000034,-18.221319021642834,102,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_prox_top3,backtrader,10000.0,8.0,105,101,64,14899.691599999995,48.996915999999956,-16.992765770444652,111,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_ind_def_top1,backtrader,10000.0,8.0,40,40,24,11573.1084,15.731083999999985,-11.80094800817405,60,2,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_ind_def_top2,backtrader,10000.0,8.0,75,74,47,14370.963199999998,43.70963199999998,-16.842362408899646,104,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_ind_def_top3,backtrader,10000.0,8.0,101,98,61,15470.502799999998,54.70502799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_ind_prox_top1,backtrader,10000.0,8.0,40,39,23,12182.4316,21.82431599999999,-19.358220209093613,67,3,40,2025-10-24,2026-08-21
