variant,skeptical_status,final_value,total_return_pct,max_drawdown_pct,stop_events,input_picks,rebalance_events,median_week_avg_latest_return_pct,min_week_avg_latest_return_pct,pick_bottom5_precision_bad,pick_stop_rate,missed_baseline_weeks,missed_baseline_avg_return_pct,overlap_avg_return_delta_pct,non_actionable_pick_rate,extended_pick_rate,clear_geometry_pick_rate,freshness_missing_pick_rate,below_candidate_buy_point_pick_rate,rule_count,scope,eps_gate,core_mode,geometry_mode,freshness_mode,buy_point_mode,industry_cover,research_order,max_picks
skill_industry_eps_known,baseline,15470.502799999998,54.70502799999999,-16.901371762076632,5,101,40,16.0251145,-4.2633275,0.1485148514851485,0.1485148514851485,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,act,known,none,geomreject,freshstrict,bpstrict,True,def,3
sk_act_epspass_corestrict_freshstrict_bpstrict_geomclean_noind_prox_top3,portfolio_tradeoff,21541.848399999995,115.41848399999996,-5.4482743489318475,1,85,37,14.500299666666667,-6.6438049999999995,0.15294117647058825,0.16470588235294117,3,24.033752,-0.43455142857142864,0.0,0.0,0.0,0.0,0.0,3,act,pass25,corestrict,geomclean,freshstrict,bpstrict,False,prox,3
sk_act_epspass_corestrict_freshstrict_bpallow_geomclean_noind_prox_top3,portfolio_tradeoff,21541.848399999995,115.41848399999996,-5.4482743489318475,1,85,37,14.500299666666667,-6.6438049999999995,0.15294117647058825,0.16470588235294117,3,24.033752,-0.43455142857142864,0.0,0.0,0.0,0.0,0.0,4,act,pass25,corestrict,geomclean,freshstrict,bpallow,False,prox,3
sk_act_epspass_corestrict_freshallow_bpstrict_geomclean_noind_prox_top3,portfolio_tradeoff,21541.848399999995,115.41848399999996,-5.4482743489318475,1,85,37,14.500299666666667,-6.6438049999999995,0.15294117647058825,0.16470588235294117,3,24.033752,-0.43455142857142864,0.0,0.0,0.0,0.0,0.0,4,act,pass25,corestrict,geomclean,freshallow,bpstrict,False,prox,3
sk_act_epspass_corestrict_freshallow_bpallow_geomclean_noind_prox_top3,portfolio_tradeoff,21541.848399999995,115.41848399999996,-5.4482743489318475,1,85,37,14.500299666666667,-6.6438049999999995,0.15294117647058825,0.16470588235294117,3,24.033752,-0.43455142857142864,0.0,0.0,0.0,0.0,0.0,5,act,pass25,corestrict,geomclean,freshallow,bpallow,False,prox,3
sk_act_epspass_coreentryloose_freshstrict_bpstrict_geomclean_noind_prox_top3,portfolio_tradeoff,21541.848399999995,115.41848399999996,-5.4482743489318475,1,85,37,14.500299666666667,-6.6438049999999995,0.15294117647058825,0.16470588235294117,3,24.033752,-0.43455142857142864,0.0,0.0,0.0,0.0,0.0,4,act,pass25,coreentryloose,geomclean,freshstrict,bpstrict,False,prox,3
sk_act_epspass_coreentryloose_freshstrict_bpallow_geomclean_noind_prox_top3,portfolio_tradeoff,21541.848399999995,115.41848399999996,-5.4482743489318475,1,85,37,14.500299666666667,-6.6438049999999995,0.15294117647058825,0.16470588235294117,3,24.033752,-0.43455142857142864,0.0,0.0,0.0,0.0,0.0,5,act,pass25,coreentryloose,geomclean,freshstrict,bpallow,False,prox,3
sk_act_epspass_coreentryloose_freshallow_bpstrict_geomclean_noind_prox_top3,portfolio_tradeoff,21541.848399999995,115.41848399999996,-5.4482743489318475,1,85,37,14.500299666666667,-6.6438049999999995,0.15294117647058825,0.16470588235294117,3,24.033752,-0.43455142857142864,0.0,0.0,0.0,0.0,0.0,5,act,pass25,coreentryloose,geomclean,freshallow,bpstrict,False,prox,3
sk_act_epspass_coreentryloose_freshallow_bpallow_geomclean_noind_prox_top3,portfolio_tradeoff,21541.848399999995,115.41848399999996,-5.4482743489318475,1,85,37,14.500299666666667,-6.6438049999999995,0.15294117647058825,0.16470588235294117,3,24.033752,-0.43455142857142864,0.0,0.0,0.0,0.0,0.0,6,act,pass25,coreentryloose,geomclean,freshallow,bpallow,False,prox,3
sk_act_epspass_coreloose_freshstrict_bpstrict_geomclean_noind_prox_top3,portfolio_tradeoff,21541.848399999995,115.41848399999996,-5.4482743489318475,1,85,37,14.500299666666667,-6.6438049999999995,0.15294117647058825,0.16470588235294117,3,24.033752,-0.43455142857142864,0.0,0.0,0.0,0.0,0.0,5,act,pass25,coreloose,geomclean,freshstrict,bpstrict,False,prox,3
