eps_mode,variant,scope,signal_wide,allow_extended,eps_gate,core_mode,allow_entry_volume_gap,allow_without_volume_confirm,geometry_mode,allow_clear_geometry_failure,geometry_caution_hard_filter,freshness_mode,allow_freshness_missing,buy_point_mode,allow_below_candidate_buy_point,industry_cover,research_order,proximity_reorder,max_picks,rule_count,weeks,valid_weeks,picks,median_week_avg_latest_return_pct,p25_week_avg_latest_return_pct,p75_week_avg_latest_return_pct,min_week_avg_latest_return_pct,max_week_avg_latest_return_pct,median_worst_pick_return_pct,min_worst_pick_return_pct,pick_top5_precision,pick_bottom5_precision_bad,pick_stop_rate,top3_coverage,top5_coverage,gain5_coverage,bottom3_exposure_vs_slots,bottom5_exposure_vs_slots,stop_exposure_vs_all_stops,rank_weighted_week_return_median,rank_weighted_week_return_min,rank_weighted_week_return_max,baseline_variant,baseline_weeks,candidate_weeks,overlap_weeks,missed_baseline_weeks,missed_baseline_avg_return_pct,missed_baseline_median_return_pct,missed_baseline_stop_weeks,overlap_avg_return_delta_pct,overlap_median_return_delta_pct,weeks_intuitive,valid_return_weeks,missing_path_weeks,positive_weeks,negative_weeks,flat_weeks,positive_week_rate,negative_week_rate,weeks_with_less_than_3_picks,final_equity_proxy,total_return_pct_proxy,non_actionable_picks,extended_picks,clear_geometry_picks,freshness_missing_picks,below_candidate_buy_point_picks,total_picks,non_actionable_pick_rate,extended_pick_rate,clear_geometry_pick_rate,freshness_missing_pick_rate,below_candidate_buy_point_pick_rate,backtest_engine,initial_capital,stop_loss_pct,input_picks,requested_symbols,loaded_symbols,final_value,total_return_pct,max_drawdown_pct,trade_events,stop_events,rebalance_events,start_date,end_date
with_eps,skill_industry_eps_known,act,False,False,known,none,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,def,False,3,0,40,34,101,16.0251145,9.1879895,28.726487875,-4.2633275,108.101504,11.709016,-11.182424,0.09900990099009901,0.1485148514851485,0.1485148514851485,0.03968253968253968,0.04878048780487805,0.05365853658536585,0.0873015873015873,0.07317073170731707,0.02608695652173913,15.079061799999998,-3.5604427999999997,125.1870222,skill_industry_eps_known,40,40,40,0,,,0,0.0,0.0,40,34,6,33,1,0,0.9705882352941176,0.029411764705882353,10,2409944.7207031706,23999.447207031706,0,0,0,0,0,101,0.0,0.0,0.0,0.0,0.0,backtrader,10000.0,8.0,101,98,61,15470.502799999998,54.70502799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,signal_core_quality_eps_pass,sig,True,False,pass25,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,def,False,3,0,38,28,88,15.52704475,8.711386083333334,27.794369625,-4.2633275,108.101504,10.001526,-11.182424,0.10227272727272728,0.14772727272727273,0.13636363636363635,0.03968253968253968,0.04390243902439024,0.04390243902439024,0.07142857142857142,0.06341463414634146,0.020869565217391306,10.889794583333334,-3.5604427999999997,125.1870222,skill_industry_eps_known,40,38,38,2,7.749535,7.749535,1,-1.0159264285714287,0.0,38,28,10,27,1,0,0.9642857142857143,0.03571428571428571,9,1106235.7479297153,10962.357479297154,0,0,0,0,0,88,0.0,0.0,0.0,0.0,0.0,backtrader,10000.0,8.0,88,84,54,16364.43,63.64430000000001,-11.268163007446198,110,3,38,2025-10-24,2026-08-21
with_eps,clean_eps_pass_no_dry_no_geom_caution,act,False,False,pass25,none,False,False,geomclean,False,True,freshstrict,False,bpstrict,False,True,def,False,3,0,38,29,88,15.2132215,8.935968,27.3283105,-4.2633275,108.101504,9.482204,-11.182424,0.11363636363636363,0.14772727272727273,0.14772727272727273,0.047619047619047616,0.04878048780487805,0.04878048780487805,0.07142857142857142,0.06341463414634146,0.022608695652173914,11.540994,-3.5604427999999997,125.1870222,skill_industry_eps_known,40,38,38,2,7.749535,7.749535,1,-0.8885076954022987,0.0,38,29,9,28,1,0,0.9655172413793104,0.034482758620689655,9,1338403.649509584,13284.036495095841,0,0,0,0,0,88,0.0,0.0,0.0,0.0,0.0,backtrader,10000.0,8.0,88,82,53,18198.789999999997,81.98789999999998,-6.608368436601408,113,2,38,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_def_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,def,False,1,3,40,24,40,15.2655425,7.2105555,24.8060745,-0.748904,193.529095,15.2655425,-0.748904,0.125,0.2,0.175,0.015873015873015872,0.024390243902439025,0.02926829268292683,0.031746031746031744,0.03902439024390244,0.01217391304347826,3.492606,-0.748904,193.529095,skill_industry_eps_known,40,40,40,0,,,0,3.421433854166667,0.924560749999999,40,24,16,23,1,0,0.9583333333333334,0.041666666666666664,24,298288.76386049215,2882.8876386049214,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,backtrader,10000.0,8.0,40,40,24,11573.1084,15.731083999999985,-11.80094800817405,60,2,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_def_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,def,False,2,3,40,32,75,16.939262499999998,8.551585750000001,24.585079375,-4.2633275,116.183057,14.979756,-7.777751,0.10666666666666667,0.2,0.17333333333333334,0.023809523809523808,0.03902439024390244,0.04390243902439024,0.0873015873015873,0.07317073170731707,0.022608695652173914,13.352759800000001,-3.5604427999999997,125.1870222,skill_industry_eps_known,40,40,40,0,,,0,-0.7657916562499996,0.0,40,32,8,30,2,0,0.9375,0.0625,32,809959.6182475975,7999.596182475974,0,0,0,0,0,75,0.0,0.0,0.0,0.0,0.0,backtrader,10000.0,8.0,75,74,47,14370.963199999998,43.70963199999998,-16.842362408899646,104,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_def_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,def,False,3,2,40,34,101,16.0251145,9.1879895,28.726487875,-4.2633275,108.101504,11.709016,-11.182424,0.09900990099009901,0.1485148514851485,0.1485148514851485,0.03968253968253968,0.04878048780487805,0.05365853658536585,0.0873015873015873,0.07317073170731707,0.02608695652173913,15.079061799999998,-3.5604427999999997,125.1870222,skill_industry_eps_known,40,40,40,0,,,0,0.0,0.0,40,34,6,33,1,0,0.9705882352941176,0.029411764705882353,10,2409944.7207031706,23999.447207031706,0,0,0,0,0,101,0.0,0.0,0.0,0.0,0.0,backtrader,10000.0,8.0,101,98,61,15470.502799999998,54.70502799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_prox_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,prox,True,1,4,40,24,40,15.2655425,9.049036749999999,24.8060745,-11.40476,193.529095,15.2655425,-11.40476,0.1,0.225,0.2,0.015873015873015872,0.01951219512195122,0.024390243902439025,0.03968253968253968,0.04390243902439024,0.01391304347826087,4.8599235,-11.404760000000001,193.529095,skill_industry_eps_known,40,40,40,0,,,0,3.3265635208333344,0.2800105000000008,40,24,16,23,1,0,0.9583333333333334,0.041666666666666664,24,270688.0410206263,2606.880410206263,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,backtrader,10000.0,8.0,40,39,23,12182.4316,21.82431599999999,-19.358220209093613,67,3,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_prox_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,prox,True,2,4,40,32,75,16.939262499999998,8.551585750000001,25.06161925,-6.076832,116.183057,15.5550815,-11.40476,0.10666666666666667,0.2,0.17333333333333334,0.023809523809523808,0.03902439024390244,0.04390243902439024,0.0873015873015873,0.07317073170731707,0.022608695652173914,12.7439875,-7.1424176,125.1870222,skill_industry_eps_known,40,40,40,0,,,0,-0.5845729843749997,0.0,40,32,8,31,1,0,0.96875,0.03125,32,867921.7617384988,8579.217617384988,0,0,0,0,0,75,0.0,0.0,0.0,0.0,0.0,backtrader,10000.0,8.0,75,73,46,13705.205999999998,37.05205999999998,-16.842362408899646,102,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_prox_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,prox,True,3,3,40,34,101,16.39334975,9.646462833333334,28.726487875,-6.076832,108.101504,11.576496500000001,-11.40476,0.09900990099009901,0.1485148514851485,0.13861386138613863,0.03968253968253968,0.04878048780487805,0.05365853658536585,0.0873015873015873,0.07317073170731707,0.02434782608695652,15.1972195,-7.1424176,125.1870222,skill_industry_eps_known,40,40,40,0,,,0,0.23653483823529406,0.0,40,34,6,33,1,0,0.9705882352941176,0.029411764705882353,10,2605773.9021336567,25957.73902133657,0,0,0,0,0,101,0.0,0.0,0.0,0.0,0.0,backtrader,10000.0,8.0,101,98,62,15309.675599999999,53.09675599999999,-16.901371762076632,115,5,40,2025-10-24,2026-08-21
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_def_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,False,def,False,1,2,40,24,40,15.2655425,7.2105555,24.8060745,-0.748904,193.529095,15.2655425,-0.748904,0.125,0.2,0.175,0.015873015873015872,0.024390243902439025,0.02926829268292683,0.031746031746031744,0.03902439024390244,0.01217391304347826,3.492606,-0.748904,193.529095,skill_industry_eps_known,40,40,40,0,,,0,3.421433854166667,0.924560749999999,40,24,16,23,1,0,0.9583333333333334,0.041666666666666664,24,298288.76386049215,2882.8876386049214,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,backtrader,10000.0,8.0,40,40,24,11573.1084,15.731083999999985,-11.80094800817405,60,2,40,2025-10-24,2026-08-21
