eps_mode,variant,initial_capital,stop_loss_pct,weeks,input_picks,priced_picks,picks,final_equity,total_return_pct,first_week_return_pct,positive_weeks,negative_weeks
no_eps,v3_core_top3,100000.0,-8.0,35,106,67,67,15415022.01673114,15315.02201673114,18.037657,27,8
no_eps,skill_industry_eps_known,100000.0,-8.0,0,0,0,0,100000.0,0.0,,0,0
no_eps,clean_eps_pass_no_dry_no_geom_caution,100000.0,-8.0,0,0,0,0,100000.0,0.0,,0,0
no_eps,signal_shadow_top3,100000.0,-8.0,41,126,85,85,747639591.0701572,747539.5910701571,147.068993,34,7
no_eps,research_fresh_demand_proximity_first,100000.0,-8.0,35,101,64,64,18217927.99443875,18117.92799443875,18.037657,27,8
no_eps,research_pullback_vcp_lane_interleave,100000.0,-8.0,35,101,70,70,11730763.17611795,11630.76317611795,18.037657,24,11
no_eps,research_proximity_structural_floor_guard,100000.0,-8.0,28,83,50,50,8281769.7900699,8181.7697900699,6.9467795,23,5
no_eps,research_proximity_eps_known_floor_guard,100000.0,-8.0,0,0,0,0,100000.0,0.0,,0,0
no_eps,research_proximity_eps_pass_floor_guard,100000.0,-8.0,0,0,0,0,100000.0,0.0,,0,0
no_eps,signal_core_quality_top3,100000.0,-8.0,35,101,65,65,19112492.24880751,19012.492248807506,18.037657,27,8
no_eps,signal_core_quality_no_industry,100000.0,-8.0,35,106,67,67,15415022.01673114,15315.02201673114,18.037657,27,8
no_eps,signal_core_quality_eps_known,100000.0,-8.0,0,0,0,0,100000.0,0.0,,0,0
no_eps,signal_core_quality_eps_pass,100000.0,-8.0,0,0,0,0,100000.0,0.0,,0,0
no_eps,signal_core_quality_proximity_eps_known,100000.0,-8.0,0,0,0,0,100000.0,0.0,,0,0
with_eps,v3_core_top3,100000.0,-8.0,34,106,67,67,23658475.467696052,23558.47546769605,18.037657,28,6
with_eps,skill_industry_eps_known,100000.0,-8.0,34,101,64,64,24099447.207031712,23999.447207031713,18.037657,27,7
with_eps,clean_eps_pass_no_dry_no_geom_caution,100000.0,-8.0,29,88,58,58,13384036.495095842,13284.036495095841,29.192547,24,5
with_eps,signal_shadow_top3,100000.0,-8.0,40,126,85,85,1104454125.7560146,1104354.1257560146,147.068993,33,7
with_eps,research_fresh_demand_proximity_first,100000.0,-8.0,34,101,64,64,24695782.70399246,24595.78270399246,18.037657,28,6
with_eps,research_pullback_vcp_lane_interleave,100000.0,-8.0,35,101,67,67,12688668.820734682,12588.668820734682,18.037657,23,12
with_eps,research_proximity_structural_floor_guard,100000.0,-8.0,28,83,53,53,10717167.549912157,10617.167549912156,6.9467795,24,4
with_eps,research_proximity_eps_known_floor_guard,100000.0,-8.0,28,82,53,53,11651336.072728714,11551.336072728714,6.9467795,24,4
with_eps,research_proximity_eps_pass_floor_guard,100000.0,-8.0,23,67,46,46,11123496.41694651,11023.49641694651,6.9467795,22,1
with_eps,signal_core_quality_top3,100000.0,-8.0,34,101,64,64,22167227.171701793,22067.227171701794,18.037657,27,7
with_eps,signal_core_quality_no_industry,100000.0,-8.0,34,106,67,67,23658475.467696052,23558.47546769605,18.037657,28,6
with_eps,signal_core_quality_eps_known,100000.0,-8.0,34,101,64,64,24099447.207031712,23999.447207031713,18.037657,27,7
with_eps,signal_core_quality_eps_pass,100000.0,-8.0,28,88,57,57,11062357.47929716,10962.35747929716,29.192547,23,5
with_eps,signal_core_quality_proximity_eps_known,100000.0,-8.0,34,101,65,65,26057739.021336567,25957.73902133657,18.037657,27,7
