eps_mode,variant,weeks,valid_weeks,picks,median_week_avg_latest_return_pct,p25_week_avg_latest_return_pct,p75_week_avg_latest_return_pct,min_week_avg_latest_return_pct,max_week_avg_latest_return_pct,median_worst_pick_return_pct,min_worst_pick_return_pct,pick_top5_precision,pick_bottom5_precision_bad,pick_stop_rate,top3_coverage,top5_coverage,gain5_coverage,bottom3_exposure_vs_slots,bottom5_exposure_vs_slots,stop_exposure_vs_all_stops,rank_weighted_week_return_median,rank_weighted_week_return_min,rank_weighted_week_return_max
no_eps,v3_core_top3,40,35,106,15.567576,7.6600635,23.2874465,-12.411084,146.091373,10.710322,-40.091463,0.10377358490566038,0.16037735849056603,0.16981132075471697,0.03968253968253968,0.05365853658536585,0.06341463414634146,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.079061799999998,-3.1842909999999995,125.1870222
no_eps,skill_industry_eps_known,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
no_eps,clean_eps_pass_no_dry_no_geom_caution,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
no_eps,signal_shadow_top3,42,41,126,22.556940666666662,12.5327175,44.0597485,-12.411084,147.068993,12.109091,-40.091463,0.20634920634920634,0.23809523809523808,0.20634920634920634,0.10317460317460317,0.12682926829268293,0.13658536585365855,0.14285714285714285,0.14634146341463414,0.04521739130434783,23.06446865,-3.1842909999999995,185.371999
no_eps,research_fresh_demand_proximity_first,40,35,101,18.037657,8.284235500000001,27.107606166666667,-12.411084,111.86084266666668,11.898034,-40.091463,0.12871287128712872,0.16831683168316833,0.1782178217821782,0.05555555555555555,0.06341463414634146,0.07317073170731707,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.677951999999998,-3.1842909999999995,125.1870222
no_eps,research_pullback_vcp_lane_interleave,40,35,101,15.609013999999998,6.2334232499999995,30.95317766666667,-2.478985,111.74214266666668,8.818936,-30.079402,0.15841584158415842,0.1782178217821782,0.2079207920792079,0.06349206349206349,0.07804878048780488,0.08292682926829269,0.10317460317460317,0.08780487804878048,0.036521739130434785,11.113616999999998,-5.938399666666666,155.76265866666668
with_eps,v3_core_top3,40,34,106,16.861024,8.49628625,28.726487875,-12.411084,108.101504,12.2120185,-40.091463,0.09433962264150944,0.1509433962264151,0.16037735849056603,0.03968253968253968,0.04878048780487805,0.05365853658536585,0.09523809523809523,0.07804878048780488,0.029565217391304348,15.079061799999998,-4.8678289999999995,125.1870222
with_eps,skill_industry_eps_known,40,34,101,16.0251145,9.1879895,28.726487875,-4.2633275,108.101504,11.709016,-11.182424,0.09900990099009901,0.1485148514851485,0.1485148514851485,0.03968253968253968,0.04878048780487805,0.05365853658536585,0.0873015873015873,0.07317073170731707,0.02608695652173913,15.079061799999998,-3.5604427999999997,125.1870222
with_eps,clean_eps_pass_no_dry_no_geom_caution,38,29,88,15.2132215,8.935968,27.3283105,-4.2633275,108.101504,9.482204,-11.182424,0.11363636363636363,0.14772727272727273,0.14772727272727273,0.047619047619047616,0.04878048780487805,0.04878048780487805,0.07142857142857142,0.06341463414634146,0.022608695652173914,11.540994,-3.5604427999999997,125.1870222
with_eps,signal_shadow_top3,42,40,126,21.247256666666665,12.430745208333335,51.539825875,-12.411084,147.068993,12.2120185,-40.091463,0.21428571428571427,0.23015873015873015,0.20634920634920634,0.1111111111111111,0.13170731707317074,0.13658536585365855,0.15873015873015872,0.14146341463414633,0.04521739130434783,21.216016416666665,-3.5604427999999997,188.142877
with_eps,research_fresh_demand_proximity_first,40,34,101,16.39334975,8.49628625,28.726487875,-12.411084,108.101504,11.576496500000001,-40.091463,0.09900990099009901,0.15841584158415842,0.13861386138613863,0.03968253968253968,0.04878048780487805,0.05365853658536585,0.09523809523809523,0.07804878048780488,0.02434782608695652,15.1972195,-7.1424176,125.1870222
with_eps,research_pullback_vcp_lane_interleave,40,35,101,14.4702895,4.4241565,30.848873833333336,-9.482722333333331,145.913323,8.818936,-30.079402,0.12871287128712872,0.1782178217821782,0.18811881188118812,0.05555555555555555,0.06341463414634146,0.07317073170731707,0.1111111111111111,0.08780487804878048,0.03304347826086956,9.254820583333334,-10.1256635,172.3256326
