snapshot_date,code,rule,dry_state,original_rank,reward_only_rank,rank_delta,original_top3_position,reward_only_top3_position,original_top3_member,reward_only_top3_member
2025-10-10,ANET,pivot,False,5,3,2,,,False,False
2025-10-10,ASTS,ma10_touch_confirm,Missing,4,5,-1,,,False,False
2025-10-10,GH,ma10_touch_confirm,False,6,6,0,,,False,False
2025-10-10,MP,pivot,True,10,10,0,,,False,False
2025-10-10,OKLO,pivot,False,12,12,0,,,False,False
2025-10-10,SANM,pivot,True,7,7,0,,,False,False
2025-10-10,TEM,ma10_touch_confirm,Missing,3,4,-1,,,False,False
2025-10-10,VRT,ma10_touch_confirm,Missing,9,9,0,,,False,False
2025-10-24,AVGO,ma10_touch_confirm,False,21,16,5,,,False,False
2025-10-24,COF,ma10_touch_confirm,Missing,27,27,0,,,False,False
2025-10-24,GH,pivot,True,22,24,-2,,,False,False
2025-10-24,GOOG,pivot,True,4,5,-1,,,False,False
2025-10-24,HWM,pivot,True,2,2,0,,,False,False
2025-10-24,KLAC,ma10_touch_confirm,False,9,7,2,,,False,False
2025-10-24,NRG,pivot,True,5,6,-1,,,False,False
2025-10-24,NVDA,pivot,False,8,3,5,,,False,False
2025-10-24,OPEN,ma10_touch_confirm,True,3,4,-1,,,False,False
2025-10-24,PANW,pivot,False,11,11,0,,,False,False
2025-10-24,RTX,pivot,False,29,29,0,,,False,False
2025-10-24,SEDG,pivot,False,23,22,1,,,False,False
2025-10-24,SHOP,pivot,False,25,23,2,,,False,False
2025-10-24,VEEV,pivot,True,7,9,-2,,,False,False
2025-10-24,WELL,ma10_touch_confirm,False,10,10,0,,,False,False
2025-10-24,WFC,pivot,Missing,6,8,-2,,,False,False
2025-10-31,C,ma10_touch_confirm,False,6,5,1,,,False,False
2025-10-31,CHRW,pivot,True,23,23,0,,,False,False
2025-10-31,COE,pivot,False,18,16,2,,,False,False
2025-10-31,CORZ,ma10_touch_confirm,Missing,24,24,0,,,False,False
2025-10-31,CRDO,pivot,False,19,18,1,,,False,False
2025-10-31,FUTU,pivot,False,8,8,0,,,False,False
2025-10-31,HOOD,ma10_touch_confirm,True,4,4,0,,,False,False
2025-10-31,LKNCY,pivot,False,3,3,0,,,False,False
2025-10-31,MS,pivot,False,7,6,1,,,False,False
2025-10-31,MTSR,three_weeks_tight,True,25,25,0,,,False,False
2025-10-31,NBIS,ma10_touch_confirm,False,20,20,0,,,False,False
2025-10-31,NET,pivot,True,9,9,0,,,False,False
2025-10-31,NVDA,pivot,True,10,10,0,,,False,False
2025-10-31,SOFI,pivot,False,2,2,0,2.0,2.0,True,True
2025-10-31,STX,ma10_touch_confirm,False,15,12,3,,,False,False
2025-10-31,VTR,ma10_touch_confirm,False,1,1,0,1.0,1.0,True,True
2025-10-31,WDC,pivot,False,12,11,1,,,False,False
2025-10-31,WFC,pivot,Missing,5,7,-2,,,False,False
2025-10-31,WULF,ma10_touch_confirm,False,28,28,0,,,False,False
2025-11-07,ARGX,pivot,False,7,7,0,,,False,False
2025-11-07,EXPE,ceiling_pullback,False,10,10,0,,,False,False
2025-11-07,FIGS,pivot,False,14,14,0,,,False,False
2025-11-07,GH,ma10_touch_confirm,True,3,4,-1,,,False,False
2025-11-07,JPM,ma10_touch_confirm,False,8,8,0,,,False,False
2025-11-07,NRG,pivot,Missing,4,5,-1,,,False,False
2025-11-07,SANM,ma10_touch_confirm,True,9,9,0,,,False,False
2025-11-07,SEDG,pivot,False,2,2,0,,,False,False
2025-11-07,STX,pivot,False,11,11,0,,,False,False
2025-11-07,VTR,ceiling_pullback,False,6,3,3,,,False,False
2025-11-07,XYL,pivot,True,5,6,-1,,,False,False
2025-11-14,ABBV,ceiling_pullback,False,16,16,0,,,False,False
2025-11-14,AU,ma10_touch_confirm,False,17,17,0,,,False,False
2025-11-14,CASY,ma10_touch_confirm,Missing,15,15,0,,,False,False
2025-11-14,COLL,ma10_touch_confirm,Missing,12,12,0,,,False,False
2025-11-14,EA,pivot,True,6,8,-2,,,False,False
2025-11-14,FE,ma10_touch_confirm,False,9,9,0,,,False,False
2025-11-14,GSK,ma10_touch_confirm,False,10,10,0,,,False,False
2025-11-14,JNJ,pivot,True,4,5,-1,,,False,False
2025-11-14,LYFT,ma10_touch_confirm,Missing,3,3,0,3.0,3.0,True,True
2025-11-14,MNST,pivot,False,7,4,3,,,False,False
2025-11-14,MS,pivot,False,8,6,2,,,False,False
2025-11-14,NTRA,ceiling_pullback,Missing,5,7,-2,,,False,False
2025-11-14,SHEL,ceiling_pullback,False,11,11,0,,,False,False
2025-11-21,ABBV,pivot,False,4,4,0,,,False,False
2025-11-21,BTSG,pivot,True,2,2,0,,,False,False
2025-11-21,FE,three_weeks_tight,False,3,3,0,,,False,False
2025-11-21,GOOG,pivot,True,7,7,0,,,False,False
2025-11-21,MDT,pivot,Missing,8,8,0,,,False,False
2025-11-21,MNPR,pivot,False,6,6,0,,,False,False
2025-11-21,ROST,three_weeks_tight,False,5,5,0,,,False,False
2025-11-28,AAPL,three_weeks_tight,False,9,5,4,,,False,False
2025-11-28,AU,pivot,False,34,34,0,,,False,False
2025-11-28,AVGO,pivot,False,25,21,4,,,False,False
2025-11-28,BKR,ma10_touch_confirm,False,12,11,1,,,False,False
2025-11-28,BTSG,ma10_touch_confirm,True,3,4,-1,,,False,False
2025-11-28,C,pivot,True,6,10,-4,,,False,False
2025-11-28,CASY,pivot,Missing,8,12,-4,,,False,False
2025-11-28,CHRW,pivot,True,2,3,-1,,,False,False
2025-11-28,CIEN,pivot,False,7,2,5,,,False,False
2025-11-28,COHR,pivot,False,10,6,4,,,False,False
2025-11-28,CRDO,pivot,False,29,22,7,,,False,False
2025-11-28,EA,pivot,False,13,13,0,,,False,False
2025-11-28,FE,pivot,False,14,14,0,,,False,False
2025-11-28,MNST,ma10_touch_confirm,False,1,1,0,1.0,1.0,True,True
2025-11-28,MS,pivot,False,11,9,2,,,False,False
2025-11-28,NU,ceiling_pullback,False,35,35,0,,,False,False
2025-11-28,OUST,ceiling_pullback,False,31,28,3,,,False,False
2025-11-28,ROST,ceiling_pullback,False,16,16,0,2.0,2.0,True,True
2025-11-28,SHOP,pivot,False,32,30,2,,,False,False
2025-11-28,SOFI,pivot,False,30,25,5,,,False,False
2025-11-28,STX,ma10_touch_confirm,True,4,7,-3,,,False,False
2025-11-28,W,ceiling_pullback,False,15,15,0,,,False,False
2025-11-28,WFC,pivot,False,17,17,0,3.0,3.0,True,True
2025-11-28,WMT,pivot,Missing,5,8,-3,,,False,False
2025-12-05,APP,pivot,Missing,28,28,0,,,False,False
2025-12-05,BIDU,ma10_touch_confirm,Missing,22,23,-1,,,False,False
2025-12-05,C,pivot,True,5,6,-1,,,False,False
2025-12-05,CAT,pivot,True,4,4,0,,,False,False
2025-12-05,EA,ma10_touch_confirm,False,11,8,3,,,False,False
2025-12-05,FN,ma10_touch_confirm,False,13,12,1,,,False,False
2025-12-05,JOBY,ceiling_pullback,True,9,13,-4,,,False,False
2025-12-05,JPM,pivot,False,12,9,3,,,False,False
2025-12-05,LYFT,ma10_touch_confirm,Missing,29,29,0,,,False,False
2025-12-05,MS,ma10_touch_confirm,False,10,5,5,,,False,False
2025-12-05,SHOP,ma10_touch_confirm,False,27,22,5,,,False,False
2025-12-05,TSM,ma10_touch_confirm,True,7,10,-3,,,False,False
2025-12-05,TTWO,ma10_touch_confirm,Missing,17,17,0,,,False,False
2025-12-05,VRT,ma10_touch_confirm,True,26,27,-1,,,False,False
2025-12-05,WDC,pivot,True,3,3,0,,,False,False
2025-12-05,WES,pivot,Missing,8,11,-3,,,False,False
2025-12-05,WFC,ceiling_pullback,True,6,7,-1,,,False,False
2025-12-05,WWD,ma10_touch_confirm,Missing,2,2,0,,,False,False
2025-12-12,ASTS,ma10_touch_confirm,Missing,23,24,-1,,,False,False
2025-12-12,BLK,ma10_touch_confirm,Missing,21,22,-1,,,False,False
2025-12-12,CIEN,pivot,False,25,21,4,,,False,False
2025-12-12,COF,ma10_touch_confirm,Missing,2,8,-6,,,False,False
2025-12-12,EXPE,ma10_touch_confirm,False,6,5,1,,,False,False
2025-12-12,FEIM,pivot,True,10,10,0,,,False,False
2025-12-12,IBM,pivot,False,3,1,2,,,False,False
2025-12-12,JPM,pivot,False,5,4,1,,,False,False
2025-12-12,ROST,three_weeks_tight,False,8,7,1,,,False,False
2025-12-12,RTX,ma10_touch_confirm,False,4,2,2,,,False,False
2025-12-12,STX,pivot,True,1,3,-2,,,False,False
2025-12-12,TPR,pivot,False,7,6,1,,,False,False
2025-12-12,TSLA,ma10_touch_confirm,Missing,22,23,-1,,,False,False
2025-12-19,CHRW,pivot,False,9,7,2,,,False,False
2025-12-19,EXPE,pivot,False,11,10,1,,,False,False
2025-12-19,HLT,pivot,Missing,4,5,-1,,,False,False
2025-12-19,HWM,ma10_touch_confirm,Missing,6,9,-3,,,False,False
2025-12-19,LLY,ceiling_pullback,False,8,6,2,,,False,False
2025-12-19,MNST,pivot,True,15,15,0,,,False,False
2025-12-19,MU,pivot,True,3,3,0,3.0,3.0,True,True
2025-12-19,PAC,ma10_touch_confirm,Missing,5,8,-3,,,False,False
2025-12-19,RKLB,ma10_touch_confirm,True,12,12,0,,,False,False
2025-12-19,RTX,pivot,False,7,4,3,,,False,False
2025-12-19,SHOP,ma10_touch_confirm,False,19,19,0,,,False,False
