factor,segment,horizon,weeks_ic,mean_ic,median_ic,ic_positive_pct,accepted
risk_adj_mom_10,train,W1,31,-0.0216,0.0053,54.84,True
risk_adj_mom_10,train,W2,31,0.0067,0.0131,54.84,True
risk_adj_mom_10,train,W4,31,0.0052,-0.0247,45.16,True
risk_adj_mom_10,contaminated_validation,W1,11,0.026,-0.0098,45.45,True
risk_adj_mom_10,contaminated_validation,W2,11,0.007,-0.0182,45.45,True
risk_adj_mom_10,contaminated_validation,W4,9,-0.0222,-0.0473,44.44,True
risk_adj_mom_20,train,W1,31,0.0404,0.0803,54.84,True
risk_adj_mom_20,train,W2,31,0.0074,0.0238,54.84,True
risk_adj_mom_20,train,W4,31,0.0155,0.0639,61.29,True
risk_adj_mom_20,contaminated_validation,W1,11,-0.019,-0.018,45.45,True
risk_adj_mom_20,contaminated_validation,W2,11,-0.0311,-0.0238,45.45,True
risk_adj_mom_20,contaminated_validation,W4,9,-0.0111,0.0192,55.56,True
risk_adj_mom_60,train,W1,31,-0.0727,-0.0488,32.26,True
risk_adj_mom_60,train,W2,31,-0.0476,-0.0612,48.39,True
risk_adj_mom_60,train,W4,31,0.0452,0.0202,51.61,True
risk_adj_mom_60,contaminated_validation,W1,11,-0.0463,-0.0298,27.27,True
risk_adj_mom_60,contaminated_validation,W2,11,-0.0568,-0.0536,27.27,True
risk_adj_mom_60,contaminated_validation,W4,9,-0.1039,-0.116,0.0,True
