universe,state,sample_size,pct_of_universe,w1_count,w1_mean_pct,w1_median_pct,w1_p10_pct,w1_p90_pct,w1_cvar10_pct,w1_stop8_rate_pct,profit20_rate_pct,w2_count,w2_mean_pct,w2_median_pct,w2_p10_pct,w2_p90_pct,w2_cvar10_pct,w2_stop8_rate_pct,w4_count,w4_mean_pct,w4_median_pct,w4_p10_pct,w4_p90_pct,w4_cvar10_pct,w4_stop8_rate_pct,top_signal_type,ceiling_pct,ceiling_pullback_pct,pivot_pct,ma10_touch_pct
signal,True,429,15.67,423,-0.294,-0.115,-6.903,5.698,-12.539,14.92,29.84,423,0.296,0.668,-9.104,8.606,-16.932,27.74,371,0.436,0.387,-15.783,14.046,-24.999,37.06,pivot,0.0,11.2,64.8,22.4
signal,False,1152,42.07,1136,-0.248,-0.084,-6.987,6.451,-12.73,17.27,28.65,1136,-0.157,-0.035,-10.534,9.299,-18.859,27.08,997,0.162,0.501,-16.286,13.436,-26.063,34.2,pivot,0.0,9.7,54.6,29.9
signal,Missing,1157,42.26,1144,0.242,0.277,-6.044,6.796,-12.082,13.83,32.76,1143,0.755,0.661,-8.75,9.929,-15.946,24.03,1050,1.746,1.56,-13.327,14.761,-23.473,31.37,ceiling,67.5,0.3,11.7,19.1
signal,All,2738,100.0,2703,-0.048,0.096,-6.615,6.46,-12.472,15.45,30.57,2702,0.3,0.341,-9.383,9.576,-17.41,25.89,2418,0.892,0.858,-15.157,14.06,-24.909,33.46,pivot,28.5,6.0,38.1,24.1
actionable,True,91,12.41,90,-0.329,-0.095,-9.362,5.263,-11.103,16.48,26.37,90,-0.078,0.026,-11.408,8.292,-18.583,30.77,81,0.978,1.212,-18.773,15.191,-27.159,37.36,pivot,0.0,8.8,65.9,22.0
actionable,False,297,40.52,294,-0.747,-0.293,-6.617,4.711,-12.717,15.15,20.88,294,-1.104,-0.743,-9.943,6.534,-17.688,21.89,258,-0.477,0.649,-13.511,10.605,-23.422,29.97,pivot,0.0,10.4,52.9,30.3
actionable,Missing,345,47.07,342,0.641,0.394,-4.127,6.236,-8.858,9.86,28.99,341,1.121,1.063,-6.0,8.472,-12.069,17.97,307,2.217,2.1,-11.329,13.105,-17.793,22.03,ceiling,72.2,0.0,9.3,16.8
actionable,All,733,100.0,726,-0.041,0.046,-5.386,5.5,-11.065,12.82,25.38,725,0.07,0.251,-8.495,7.657,-15.548,21.15,646,0.986,1.165,-13.226,12.024,-21.816,27.15,ceiling,34.0,5.3,34.0,22.9
b0_eligible,True,41,9.9,41,0.216,-0.139,-7.803,5.503,-10.654,17.07,31.71,41,1.228,1.389,-11.362,8.632,-14.012,26.83,38,2.392,2.667,-16.097,19.265,-18.282,36.59,pivot,0.0,9.8,73.2,14.6
b0_eligible,False,177,42.75,177,-0.966,-0.265,-6.678,4.571,-14.219,16.95,20.9,177,-1.769,-0.819,-10.447,5.891,-20.066,22.03,154,-1.067,0.251,-14.058,10.618,-25.522,31.64,pivot,0.0,8.5,55.9,29.9
b0_eligible,Missing,196,47.34,196,0.64,0.454,-3.89,5.427,-9.492,9.69,32.14,196,1.729,1.194,-5.597,9.257,-11.48,17.35,180,3.68,2.411,-7.128,15.508,-16.334,18.88,ceiling,75.0,0.0,9.7,14.3
b0_eligible,All,414,100.0,414,-0.089,0.071,-5.155,5.365,-11.958,13.53,27.29,414,0.184,0.257,-8.405,7.609,-16.09,20.29,372,1.584,1.518,-13.024,12.909,-21.061,26.09,pivot,35.5,4.6,35.7,21.0
