dry_policy,selector,challenger_id,horizon,train_picks_count,mature_weeks,mean_return_pct,median_return_pct,cvar10_pct,stop8_rate_pct
symmetric,distinct_1,B0_ORIGINAL__distinct_1,W1,10,0,1.25,1.25,0.5,0.0
symmetric,distinct_1,B0_ORIGINAL__distinct_1,W2,10,0,2.5,2.5,1.0,0.0
symmetric,distinct_1,B0_ORIGINAL__distinct_1,W4,10,0,5.0,5.0,2.0,0.0
symmetric,pure_top3,B0_ORIGINAL__pure_top3,W1,30,10,1.167,1.25,-1.0,0.0
symmetric,pure_top3,B0_ORIGINAL__pure_top3,W2,30,10,2.167,2.5,-2.0,0.0
symmetric,pure_top3,B0_ORIGINAL__pure_top3,W4,30,10,4.333,5.0,-4.0,16.67
symmetric,max_2_per_ind,B0_ORIGINAL__max_2_per_ind,W1,20,0,1.25,1.25,0.5,0.0
symmetric,max_2_per_ind,B0_ORIGINAL__max_2_per_ind,W2,20,0,2.5,2.5,1.0,0.0
symmetric,max_2_per_ind,B0_ORIGINAL__max_2_per_ind,W4,20,0,5.0,5.0,2.0,0.0
reward_only,distinct_1,B0_DRY_REWARD_ONLY__distinct_1,W1,10,0,1.25,1.25,0.5,0.0
reward_only,distinct_1,B0_DRY_REWARD_ONLY__distinct_1,W2,10,0,2.5,2.5,1.0,0.0
reward_only,distinct_1,B0_DRY_REWARD_ONLY__distinct_1,W4,10,0,5.0,5.0,2.0,0.0
reward_only,pure_top3,B0_DRY_REWARD_ONLY__pure_top3,W1,30,10,1.167,1.25,-1.0,0.0
reward_only,pure_top3,B0_DRY_REWARD_ONLY__pure_top3,W2,30,10,2.167,2.5,-2.0,0.0
reward_only,pure_top3,B0_DRY_REWARD_ONLY__pure_top3,W4,30,10,4.333,5.0,-4.0,16.67
reward_only,max_2_per_ind,B0_DRY_REWARD_ONLY__max_2_per_ind,W1,20,0,1.25,1.25,0.5,0.0
reward_only,max_2_per_ind,B0_DRY_REWARD_ONLY__max_2_per_ind,W2,20,0,2.5,2.5,1.0,0.0
reward_only,max_2_per_ind,B0_DRY_REWARD_ONLY__max_2_per_ind,W4,20,0,5.0,5.0,2.0,0.0
ignored,distinct_1,B0_DRY_IGNORED__distinct_1,W1,10,0,1.1,1.25,-1.0,0.0
ignored,distinct_1,B0_DRY_IGNORED__distinct_1,W2,10,0,1.9,2.5,-2.0,0.0
ignored,distinct_1,B0_DRY_IGNORED__distinct_1,W4,10,0,3.8,5.0,-4.0,30.0
ignored,pure_top3,B0_DRY_IGNORED__pure_top3,W1,30,10,1.117,1.25,-1.0,0.0
ignored,pure_top3,B0_DRY_IGNORED__pure_top3,W2,30,10,1.967,2.5,-2.0,0.0
ignored,pure_top3,B0_DRY_IGNORED__pure_top3,W4,30,10,3.933,5.0,-4.0,26.67
ignored,max_2_per_ind,B0_DRY_IGNORED__max_2_per_ind,W1,20,0,1.125,1.25,-1.0,0.0
ignored,max_2_per_ind,B0_DRY_IGNORED__max_2_per_ind,W2,20,0,2.0,2.5,-2.0,0.0
ignored,max_2_per_ind,B0_DRY_IGNORED__max_2_per_ind,W4,20,0,4.0,5.0,-4.0,25.0
