universe,encoding,horizon,train_oof_picks,mean_return_pct,median_return_pct,cvar10_pct,stop8_rate_pct
actionable,symmetric,W1,16,1.125,1.25,-1.0,0.0
actionable,symmetric,W2,16,2.0,2.5,-2.0,0.0
actionable,symmetric,W4,16,4.0,5.0,-4.0,25.0
actionable,reward_only,W1,16,1.125,1.25,-1.0,0.0
actionable,reward_only,W2,16,2.0,2.5,-2.0,0.0
actionable,reward_only,W4,16,4.0,5.0,-4.0,25.0
actionable,ignored,W1,16,1.125,1.25,-1.0,0.0
actionable,ignored,W2,16,2.0,2.5,-2.0,0.0
actionable,ignored,W4,16,4.0,5.0,-4.0,25.0
signal,symmetric,W1,16,1.125,1.25,-1.0,0.0
signal,symmetric,W2,16,2.0,2.5,-2.0,0.0
signal,symmetric,W4,16,4.0,5.0,-4.0,25.0
signal,reward_only,W1,16,1.125,1.25,-1.0,0.0
signal,reward_only,W2,16,2.0,2.5,-2.0,0.0
signal,reward_only,W4,16,4.0,5.0,-4.0,25.0
signal,ignored,W1,16,1.125,1.25,-1.0,0.0
signal,ignored,W2,16,2.0,2.5,-2.0,0.0
signal,ignored,W4,16,4.0,5.0,-4.0,25.0
