policy_id,family,policy_kind,components_kept,components_removed,removed_count,screen_shortlisted,confirmation_evaluated,screen_support_weeks,screen_mean_spread,screen_median_spread,screen_cvar_delta,screen_stop_delta_pct,screen_one_pick_ruins_delta_pct,screen_slot_coverage_pct,screen_full_top3_rate_pct,screen_jaccard_vs_b0,screen_ci_low,screen_ci_high,screen_positive_block_ratio,screen_block_summaries_json,confirmation_support_weeks,confirmation_mean_spread,confirmation_median_spread,confirmation_cvar_delta,confirmation_stop_delta_pct,confirmation_one_pick_ruins_delta_pct,confirmation_slot_coverage_pct,confirmation_full_top3_rate_pct,confirmation_jaccard_vs_b0,confirmation_ci_low,confirmation_ci_high,confirmation_positive_block_ratio,confirmation_block_summaries_json,pooled_support_weeks,pooled_mean_spread,pooled_median_spread,pooled_cvar_delta,pooled_stop_delta_pct,pooled_one_pick_ruins_delta_pct,pooled_slot_coverage_pct,pooled_full_top3_rate_pct,pooled_jaccard_vs_b0,pooled_ci_low,pooled_ci_high,pooled_positive_block_ratio,pooled_block_summaries_json,confirmation_risk_noninferior,pooled_risk_noninferior,b1_gate_pass,compression_gate_pass
TRACK_D_DSL__lane_x_slope_sign_probe,agent,agent_b1,,,0,True,True,6,0.9637,1.9449,2.6565,-0.0,16.67,66.67,0.0,0.6528,0.0791,1.8395,0.5,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 1.1801, ""mean_spread"": -0.0793, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 2.6565, ""mean_spread"": 2.0068, ""median_spread"": 3.8898, ""stop_delta_pct"": -0.0, ""support_weeks"": 3}]",12.0,-2.9686,-5.2201,-0.7461,13.89,41.67,66.67,0.0,0.1667,-5.2652,0.1905,0.0,"[{""block_id"": ""FWD_3"", ""cvar_delta"": -0.3105, ""mean_spread"": -1.8882, ""median_spread"": -4.0098, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -5.7516, ""mean_spread"": -0.7961, ""median_spread"": -5.3928, ""stop_delta_pct"": 33.33, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": -0.7461, ""mean_spread"": -4.7598, ""median_spread"": -10.505, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": -2.2968, ""mean_spread"": -4.4302, ""median_spread"": -8.2133, ""stop_delta_pct"": 22.22, ""support_weeks"": 3}]",18.0,-1.6578,-5.0989,-0.7461,9.26,33.33,66.67,0.0,0.3287,-3.798,0.6653,0.1667,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 1.1801, ""mean_spread"": -0.0793, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 2.6565, ""mean_spread"": 2.0068, ""median_spread"": 3.8898, ""stop_delta_pct"": -0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": -0.3105, ""mean_spread"": -1.8882, ""median_spread"": -4.0098, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -5.7516, ""mean_spread"": -0.7961, ""median_spread"": -5.3928, ""stop_delta_pct"": 33.33, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": -0.7461, ""mean_spread"": -4.7598, ""median_spread"": -10.505, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": -2.2968, ""mean_spread"": -4.4302, ""median_spread"": -8.2133, ""stop_delta_pct"": 22.22, ""support_weeks"": 3}]",False,False,False,False
TRACK_D_DSL__vol_ratio_regime_gate,agent,agent_b1,,,0,False,False,6,-1.9744,-0.1879,-2.9999,-5.56,0.0,66.67,0.0,0.6528,-2.215,-0.5793,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 1.1801, ""mean_spread"": -0.0793, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -2.9999, ""mean_spread"": -3.8694, ""median_spread"": -0.3757, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__volume_dryup_filter,agent,agent_b1,,,0,True,True,6,-1.752,-2.731,2.0862,-5.56,0.0,44.44,0.0,0.4722,-1.8055,0.6716,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 4.9377, ""mean_spread"": -1.5658, ""median_spread"": -1.4025, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",12.0,-1.6403,-2.8781,3.7277,-2.78,0.0,50.0,0.0,0.1944,-2.4681,0.424,0.25,"[{""block_id"": ""FWD_3"", ""cvar_delta"": -0.2726, ""mean_spread"": -1.5849, ""median_spread"": -3.1378, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -4.215, ""mean_spread"": -2.6131, ""median_spread"": -0.6498, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 3.7277, ""mean_spread"": 0.3177, ""median_spread"": -2.1919, ""stop_delta_pct"": -22.22, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 4.0042, ""mean_spread"": -2.6808, ""median_spread"": -6.2174, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",18.0,-1.6775,-2.8781,3.7277,-3.7,0.0,48.15,0.0,0.287,-2.3906,-0.1514,0.1667,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 4.9377, ""mean_spread"": -1.5658, ""median_spread"": -1.4025, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": -0.2726, ""mean_spread"": -1.5849, ""median_spread"": -3.1378, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -4.215, ""mean_spread"": -2.6131, ""median_spread"": -0.6498, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 3.7277, ""mean_spread"": 0.3177, ""median_spread"": -2.1919, ""stop_delta_pct"": -22.22, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 4.0042, ""mean_spread"": -2.6808, ""median_spread"": -6.2174, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",True,True,False,False
TRACK_D_DSL__volume_conditional_pivot_confirmation,agent,agent_b1,,,0,True,True,6,-1.7658,-2.5096,2.0862,-5.56,0.0,33.33,0.0,0.3611,-1.8932,0.6716,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 4.9377, ""mean_spread"": -1.5935, ""median_spread"": -0.9597, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",12.0,-3.3966,-4.5801,0.752,-0.0,16.67,33.33,0.0,0.1389,-5.5965,0.7776,0.0,"[{""block_id"": ""FWD_3"", ""cvar_delta"": -10.4861, ""mean_spread"": -8.8734, ""median_spread"": -11.8935, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -5.0165, ""mean_spread"": -1.4784, ""median_spread"": -3.4725, ""stop_delta_pct"": 22.22, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 6.8806, ""mean_spread"": -0.0074, ""median_spread"": -2.8327, ""stop_delta_pct"": -22.22, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 3.7, ""mean_spread"": -3.2271, ""median_spread"": -6.8524, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",18.0,-2.853,-3.9151,0.752,-1.85,11.11,33.33,0.0,0.213,-5.696,-0.0835,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 4.9377, ""mean_spread"": -1.5935, ""median_spread"": -0.9597, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": -10.4861, ""mean_spread"": -8.8734, ""median_spread"": -11.8935, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -5.0165, ""mean_spread"": -1.4784, ""median_spread"": -3.4725, ""stop_delta_pct"": 22.22, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 6.8806, ""mean_spread"": -0.0074, ""median_spread"": -2.8327, ""stop_delta_pct"": -22.22, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 3.7, ""mean_spread"": -3.2271, ""median_spread"": -6.8524, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",False,False,False,False
TRACK_D_DSL__snapshot_norm_vol_with_slope_trap,agent,agent_b1,,,0,False,False,6,-5.2313,-7.0492,4.9377,-11.11,-16.67,33.33,0.0,0.1944,-5.5122,1.6895,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 3.0225, ""mean_spread"": -0.9203, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 4.9377, ""mean_spread"": -9.5422, ""median_spread"": -2.8494, ""stop_delta_pct"": -22.22, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__orthogonal_breadth_decomposition,agent,agent_b1,,,0,False,False,6,-10.7736,-9.9363,-1.3633,-5.56,0.0,33.33,0.0,0.25,-12.44,-4.199,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -7.4787, ""median_spread"": -12.2409, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -14.0685, ""median_spread"": -8.3471, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__tape_volatility_interaction_probe,agent,agent_b1,,,0,False,False,6,-2.6449,-1.9962,-1.3633,-5.56,0.0,33.33,0.0,0.3611,-2.9433,-1.4287,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -3.3516, ""median_spread"": 0.0671, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__breadth_bounded_vol,agent,agent_b1,,,0,False,False,6,-9.1246,-9.5421,-1.3633,-5.56,0.0,33.33,0.0,0.3056,-10.9874,-4.199,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -7.4787, ""median_spread"": -12.2409, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -10.7705, ""median_spread"": -7.1682, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__slope_ratio_entry_tightness_ruin_gate,agent,agent_b1,,,0,True,True,6,-1.0347,-3.1042,0.0,5.55,16.67,94.45,83.33,0.9167,-1.0348,0.0,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": -2.0695, ""median_spread"": -6.2085, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",12.0,-1.8776,-4.9879,0.0248,19.44,50.0,100.0,100.0,0.2667,-5.3429,1.4816,0.25,"[{""block_id"": ""FWD_3"", ""cvar_delta"": -5.8737, ""mean_spread"": -6.6755, ""median_spread"": -9.9672, ""stop_delta_pct"": 22.22, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -10.7046, ""mean_spread"": -1.2146, ""median_spread"": -2.4381, ""stop_delta_pct"": 33.33, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0248, ""mean_spread"": -0.2756, ""median_spread"": -4.3121, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": -2.6532, ""mean_spread"": 0.6553, ""median_spread"": -5.3462, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",18.0,-1.5967,-4.9879,0.0248,14.81,38.89,98.15,94.44,0.4833,-4.8812,0.4642,0.1667,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": -2.0695, ""median_spread"": -6.2085, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": -5.8737, ""mean_spread"": -6.6755, ""median_spread"": -9.9672, ""stop_delta_pct"": 22.22, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -10.7046, ""mean_spread"": -1.2146, ""median_spread"": -2.4381, ""stop_delta_pct"": 33.33, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0248, ""mean_spread"": -0.2756, ""median_spread"": -4.3121, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": -2.6532, ""mean_spread"": 0.6553, ""median_spread"": -5.3462, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",False,False,False,False
TRACK_D_DSL__gap_gated_continuous_slot_sizing,agent,agent_b1,,,0,False,False,6,-2.9799,-3.0012,-1.3633,5.56,16.67,44.44,16.67,0.3389,-2.9799,-1.4287,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -4.0216, ""median_spread"": -1.9429, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
