policy_id,experiment_kind,components,comparator_id,support_weeks,mean_spread,median_spread,cvar_delta,stop_delta_pct,one_pick_ruins_delta_pct,slot_coverage_pct,jaccard_vs_comparator,ci_low,ci_high
KNOCKOUT__lane,knockout,dry_false_penalty|evidence_risk|freshness|eps_preference|weekly_volume|entry_volume,B0_FULL,18,0.8005,0.0,0.0,-3.7,-5.56,57.41,0.9444,0.0,1.8407
RESCUE__lane,rescue,lane,NEUTRAL_CORE,18,-0.3808,-0.7823,0.0,1.85,5.56,61.11,0.9556,-1.1424,0.0
KNOCKOUT__dry_false_penalty,knockout,lane|evidence_risk|freshness|eps_preference|weekly_volume|entry_volume,B0_FULL,18,0.0,0.0,0.0,0.0,0.0,57.41,1.0,0.0,0.0
RESCUE__dry_false_penalty,rescue,,NEUTRAL_CORE,18,0.4734,0.0,0.0,0.0,0.0,61.11,0.9722,0.0,1.4203
KNOCKOUT__evidence_risk,knockout,lane|dry_false_penalty|freshness|eps_preference|weekly_volume|entry_volume,B0_FULL,18,0.0099,-1.0688,0.0,-1.85,0.0,57.41,0.9444,-1.1399,0.7896
RESCUE__evidence_risk,rescue,evidence_risk,NEUTRAL_CORE,18,0.5235,0.0,0.0,0.0,0.0,61.11,0.9444,0.0,1.31
KNOCKOUT__freshness,knockout,lane|dry_false_penalty|evidence_risk|eps_preference|weekly_volume|entry_volume,B0_FULL,18,0.0,0.0,0.0,0.0,0.0,57.41,1.0,0.0,0.0
RESCUE__freshness,rescue,freshness,NEUTRAL_CORE,18,0.0935,0.0,0.0,0.0,0.0,61.11,0.9722,0.0,0.2805
KNOCKOUT__eps_preference,knockout,lane|dry_false_penalty|evidence_risk|freshness|weekly_volume|entry_volume,B0_FULL,18,0.0,0.0,0.0,0.0,0.0,57.41,1.0,0.0,0.0
RESCUE__eps_preference,rescue,eps_preference,NEUTRAL_CORE,18,-0.1153,-0.0141,0.0,0.0,0.0,61.11,0.9444,-0.7367,0.2605
KNOCKOUT__weekly_volume,knockout,lane|dry_false_penalty|evidence_risk|freshness|eps_preference|entry_volume,B0_FULL,18,0.0,0.0,0.0,0.0,0.0,57.41,1.0,0.0,0.0
RESCUE__weekly_volume,rescue,weekly_volume,NEUTRAL_CORE,18,0.0,0.0,0.0,0.0,0.0,61.11,1.0,0.0,0.0
KNOCKOUT__entry_volume,knockout,lane|dry_false_penalty|evidence_risk|freshness|eps_preference|weekly_volume,B0_FULL,18,0.0,0.0,0.0,0.0,0.0,57.41,1.0,0.0,0.0
RESCUE__entry_volume,rescue,entry_volume,NEUTRAL_CORE,18,0.0039,0.0,0.0,1.85,0.0,61.11,0.9167,-1.0207,1.5427
KNOCKOUT__distinct1,knockout,lane|dry_false_penalty|evidence_risk|freshness|eps_preference|weekly_volume|entry_volume,B0_FULL,18,-0.6251,-1.4612,0.0,1.85,5.56,61.11,0.9537,-1.6987,0.0
RESCUE__distinct1,rescue,,NEUTRAL_CORE,18,0.3955,1.4612,0.0,-1.85,-5.56,57.41,0.9537,-0.4238,1.6104
INTERACTION__lane__X__dry_false_penalty,interaction,lane,NEUTRAL_CORE,18,-0.4285,-0.7823,0.0,1.85,5.56,61.11,0.9556,-1.2855,0.0
INTERACTION__lane__X__freshness,interaction,lane|freshness,NEUTRAL_CORE,18,-0.4285,-0.7823,0.0,1.85,5.56,61.11,0.9556,-1.2855,0.0
INTERACTION__lane__X__distinct1,interaction,lane,NEUTRAL_CORE,18,0.0147,0.0,0.0,0.0,0.0,57.41,0.9093,-1.2837,1.4691
INTERACTION__dry_false_penalty__X__freshness,interaction,freshness,NEUTRAL_CORE,18,-0.0202,0.0,0.0,0.0,0.0,61.11,0.9722,-0.0606,0.0
INTERACTION__evidence_risk__X__distinct1,interaction,evidence_risk,NEUTRAL_CORE,18,1.1486,1.4612,0.0,-1.85,-5.56,57.41,0.8981,0.4815,2.1472
INTERACTION__entry_volume__X__distinct1,interaction,entry_volume,NEUTRAL_CORE,18,-0.1505,0.0,0.0,1.85,0.0,57.41,0.8704,-1.4177,1.631
INTERACTION__distinct1__X__capacity,interaction,,NEUTRAL_CORE,18,0.3955,1.4612,0.0,-1.85,-5.56,57.41,0.9537,-0.4238,1.6104
CAPACITY__TOP1,capacity,lane|dry_false_penalty|evidence_risk|freshness|eps_preference|weekly_volume|entry_volume,B0_FULL,18,-1.633,-1.0875,6.8634,-12.96,-27.78,29.63,0.6759,-4.5891,-0.1835
CAPACITY__TOP2,capacity,lane|dry_false_penalty|evidence_risk|freshness|eps_preference|weekly_volume|entry_volume,B0_FULL,18,0.144,-1.4612,6.3941,-5.56,-5.56,48.15,0.9074,-1.9602,1.2822
CAPACITY__EVIDENCE_POSITIVE,capacity,lane|dry_false_penalty|evidence_risk|freshness|eps_preference|weekly_volume|entry_volume,B0_FULL,18,0.0,0.0,0.0,0.0,0.0,57.41,1.0,0.0,0.0
