segment,comparator,support_weeks,challenger_mean,comparator_mean,mean_spread,challenger_median,comparator_median,median_spread,challenger_cvar10,comparator_cvar10,cvar_delta,stop_delta_pct,one_pick_ruins_delta_pct,slot_coverage_pct,full_top3_rate_pct,jaccard_vs_comparator,ci_low,ci_high,lowo_sign_stability,lowo_edge_concentration,lowo_fragile
discovery_train_18,dry_neutral_hard_lane_control,18,3.2518,3.2518,0.0,2.2435,2.2435,0.0,-10.1525,-10.1525,0.0,0.0,0.0,57.41,27.78,1.0,0.0,0.0,0.0,0.0,False
discovery_train_18,production_b0_reference,18,3.2518,3.2518,0.0,2.2435,2.2435,0.0,-10.1525,-10.1525,0.0,0.0,0.0,57.41,27.78,1.0,0.0,0.0,0.0,0.0,False
purge_4,dry_neutral_hard_lane_control,4,0.1665,0.1665,0.0,1.049,1.049,0.0,-5.0467,-5.0467,0.0,0.0,0.0,58.33,25.0,1.0,0.0,0.0,0.0,0.0,False
purge_4,production_b0_reference,4,0.1665,0.1665,0.0,1.049,1.049,0.0,-5.0467,-5.0467,0.0,0.0,0.0,58.33,25.0,1.0,0.0,0.0,0.0,0.0,False
screening_6,dry_neutral_hard_lane_control,6,8.2176,8.5791,-0.3616,5.8563,6.941,-1.0847,-7.5941,-7.5941,0.0,5.55,16.67,94.45,83.33,0.9167,-0.3616,0.0,0.0,0.0,False
screening_6,production_b0_reference,6,8.2176,8.5791,-0.3616,5.8563,6.941,-1.0847,-7.5941,-7.5941,0.0,5.55,16.67,94.45,83.33,0.9167,-0.3616,0.0,0.0,0.0,False
confirmation_12,dry_neutral_hard_lane_control,12,2.6485,2.352,0.2965,3.564,3.8492,-0.2852,-16.6568,-16.6568,0.0,2.78,8.33,100.0,100.0,0.7667,-0.5658,0.8958,0.9167,0.671,False
confirmation_12,production_b0_reference,12,2.6485,2.352,0.2965,3.564,3.8492,-0.2852,-16.6568,-16.6568,0.0,2.78,8.33,100.0,100.0,0.7667,-0.5658,0.8958,0.9167,0.671,False
locked_forward_18,dry_neutral_hard_lane_control,18,4.5049,4.4277,0.0772,3.564,3.8492,-0.2852,-16.6568,-16.6568,0.0,3.7,11.11,98.15,94.44,0.8167,-0.4764,0.7284,0.9444,0.671,False
locked_forward_18,production_b0_reference,18,4.5049,4.4277,0.0772,3.564,3.8492,-0.2852,-16.6568,-16.6568,0.0,3.7,11.11,98.15,94.44,0.8167,-0.4764,0.7284,0.9444,0.671,False
retrospective_all_40,dry_neutral_hard_lane_control,40,3.5072,3.4724,0.0347,2.5397,2.9582,-0.4185,-9.97,-9.97,0.0,1.67,5.0,75.83,57.5,0.9175,-0.2082,0.2847,0.975,0.671,False
retrospective_all_40,production_b0_reference,40,3.5072,3.4724,0.0347,2.5397,2.9582,-0.4185,-9.97,-9.97,0.0,1.67,5.0,75.83,57.5,0.9175,-0.2082,0.2847,0.975,0.671,False
post_track_d_shadow,dry_neutral_hard_lane_control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
post_track_d_shadow,production_b0_reference,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
