snapshot_date,segment,control_codes,challenger_codes,production_codes,control_vs_production_order_changed,control_vs_production_membership_changed,pairwise_opportunity_count,pairwise_opportunities_json,target_selection_swap,swap_count,swap_pairs_json,membership_changed_vs_control,control_w4_capital_return,challenger_w4_capital_return,production_w4_capital_return,portfolio_spread_vs_control_w4,portfolio_spread_vs_production_w4,mean_swap_pair_delta_w4,w4_mature_vs_control,w4_mature_vs_production
2025-10-10,discovery_train,[],[],[],False,False,0,[],False,0,[],False,0.0,0.0,0.0,0.0,0.0,,True,True
2025-10-24,discovery_train,"[""IBM"", ""AAPL""]","[""IBM"", ""AAPL""]","[""IBM"", ""AAPL""]",False,False,0,[],False,0,[],False,-0.0805,-0.0805,-0.0805,0.0,0.0,,True,True
2025-10-31,discovery_train,"[""VTR"", ""SOFI""]","[""VTR"", ""SOFI""]","[""VTR"", ""SOFI""]",False,False,0,[],False,0,[],False,3.5202,3.5202,3.5202,0.0,0.0,,True,True
2025-11-07,discovery_train,"[""COLL""]","[""COLL""]","[""COLL""]",False,False,0,[],False,0,[],False,4.3673,4.3673,4.3673,0.0,0.0,,True,True
2025-11-14,discovery_train,"[""ALL"", ""LH"", ""LYFT""]","[""ALL"", ""LH"", ""LYFT""]","[""ALL"", ""LH"", ""LYFT""]",False,False,0,[],False,0,[],False,-4.9148,-4.9148,-4.9148,0.0,0.0,,True,True
2025-11-21,discovery_train,"[""WMT""]","[""WMT""]","[""WMT""]",False,False,0,[],False,0,[],False,2.9224,2.9224,2.9224,0.0,0.0,,True,True
2025-11-28,discovery_train,"[""MNST"", ""ROST"", ""WFC""]","[""MNST"", ""ROST"", ""WFC""]","[""MNST"", ""ROST"", ""WFC""]",False,False,0,[],False,0,[],False,5.6993,5.6993,5.6993,0.0,0.0,,True,True
2025-12-05,discovery_train,"[""DASH""]","[""DASH""]","[""DASH""]",False,False,0,[],False,0,[],False,-0.7211,-0.7211,-0.7211,0.0,0.0,,True,True
2025-12-12,discovery_train,[],[],[],False,False,0,[],False,0,[],False,0.0,0.0,0.0,0.0,0.0,,True,True
2025-12-19,discovery_train,"[""SCHW"", ""PLTR"", ""MU""]","[""SCHW"", ""PLTR"", ""MU""]","[""SCHW"", ""PLTR"", ""MU""]",False,False,0,[],False,0,[],False,7.6241,7.6241,7.6241,0.0,0.0,,True,True
2025-12-26,discovery_train,"[""HEI"", ""HUT""]","[""HEI"", ""HUT""]","[""HEI"", ""HUT""]",False,False,0,[],False,0,[],False,6.5163,6.5163,6.5163,0.0,0.0,,True,True
2026-01-02,discovery_train,"[""FTAI""]","[""FTAI""]","[""FTAI""]",False,False,0,[],False,0,[],False,9.348,9.348,9.348,0.0,0.0,,True,True
2026-01-09,discovery_train,"[""GH""]","[""GH""]","[""GH""]",False,False,0,[],False,0,[],False,-3.2891,-3.2891,-3.2891,0.0,0.0,,True,True
2026-01-16,discovery_train,"[""BKR"", ""FE""]","[""BKR"", ""FE""]","[""BKR"", ""FE""]",False,False,0,[],False,0,[],False,8.6929,8.6929,8.6929,0.0,0.0,,True,True
2026-01-23,discovery_train,"[""MTB"", ""MDT""]","[""MTB"", ""MDT""]","[""MTB"", ""MDT""]",False,False,0,[],False,0,[],False,1.5646,1.5646,1.5646,0.0,0.0,,True,True
2026-01-30,discovery_train,"[""HON"", ""AAOI"", ""ZM""]","[""HON"", ""AAOI"", ""ZM""]","[""HON"", ""AAOI"", ""ZM""]",False,False,0,[],False,0,[],False,29.7808,29.7808,29.7808,0.0,0.0,,True,True
2026-02-13,discovery_train,"[""WULF""]","[""WULF""]","[""WULF""]",False,False,0,[],False,0,[],False,-2.3447,-2.3447,-2.3447,0.0,0.0,,True,True
2026-02-20,discovery_train,"[""HEI"", ""FANG"", ""UAL""]","[""HEI"", ""FANG"", ""UAL""]","[""FANG"", ""HEI"", ""UAL""]",True,False,0,[],False,0,[],False,-10.1525,-10.1525,-10.1525,0.0,0.0,,True,True
2026-02-27,purge,"[""EQIX"", ""GMED"", ""EXPE""]","[""EQIX"", ""GMED"", ""EXPE""]","[""EQIX"", ""GMED"", ""EXPE""]",False,False,0,[],False,0,[],False,-0.896,-0.896,-0.896,0.0,0.0,,True,True
2026-03-06,purge,"[""FIGS"", ""RTX""]","[""FIGS"", ""RTX""]","[""FIGS"", ""RTX""]",False,False,0,[],False,0,[],False,-5.0467,-5.0467,-5.0467,0.0,0.0,,True,True
2026-03-13,purge,"[""DOCN""]","[""DOCN""]","[""DOCN""]",False,False,0,[],False,0,[],False,2.994,2.994,2.994,0.0,0.0,,True,True
2026-03-20,purge,"[""LMND""]","[""LMND""]","[""LMND""]",False,False,0,[],False,0,[],False,3.6146,3.6146,3.6146,0.0,0.0,,True,True
2026-03-27,screening,"[""DELL"", ""CASY""]","[""DELL"", ""CASY""]","[""DELL"", ""CASY""]",False,False,0,[],False,0,[],False,12.5466,12.5466,12.5466,0.0,0.0,,True,True
2026-04-02,screening,"[""MRVL"", ""INVA"", ""PFIS""]","[""MRVL"", ""INVA"", ""PFIS""]","[""MRVL"", ""INVA"", ""PFIS""]",False,False,0,[],False,0,[],False,18.651,18.651,18.651,0.0,0.0,,True,True
2026-04-10,screening,"[""SPIR"", ""FRAF"", ""HLIO""]","[""SPIR"", ""FRAF"", ""HLIO""]","[""SPIR"", ""FRAF"", ""HLIO""]",False,False,0,[],False,0,[],False,-5.4767,-5.4767,-5.4767,0.0,0.0,,True,True
2026-04-17,screening,"[""AMLX"", ""ALB"", ""CVEO""]","[""AMLX"", ""ALB"", ""CVEO""]","[""AMLX"", ""ALB"", ""CVEO""]",False,False,0,[],False,0,[],False,-7.5941,-7.5941,-7.5941,0.0,0.0,,True,True
2026-04-24,screening,"[""MCRI"", ""NVTS"", ""SANM""]","[""MCRI"", ""NVTS"", ""SANM""]","[""MCRI"", ""NVTS"", ""SANM""]",False,False,0,[],False,0,[],False,32.0125,32.0125,32.0125,0.0,0.0,,True,True
2026-05-01,screening,"[""RBB"", ""IRM"", ""BEN""]","[""RBB"", ""IRM"", ""GVA""]","[""RBB"", ""IRM"", ""BEN""]",False,False,1,"[{""fresh_code"": ""BEN"", ""fresh_strength"": [0, 3.32, -2.2374398317650503, ""BEN""], ""standard_code"": ""GVA"", ""standard_strength"": [0, 2.03, -2.265146317806534, ""GVA""]}]",True,1,"[{""fresh_code"": ""BEN"", ""fresh_w4"": 4.2077, ""pair_delta_w4"": -6.5085, ""slot"": 3, ""standard_code"": ""GVA"", ""standard_w4"": -2.3008}]",True,1.3355,-0.834,1.3355,-2.1695,-2.1695,-6.5085,True,True
2026-05-08,confirmation,"[""FTNT"", ""KRYS"", ""CTS""]","[""FTNT"", ""KRYS"", ""CTS""]","[""FTNT"", ""KRYS"", ""CTS""]",False,False,0,[],False,0,[],False,9.3746,9.3746,9.3746,0.0,0.0,,True,True
2026-05-15,confirmation,"[""HLIO"", ""CVS"", ""AIZ""]","[""HLIO"", ""CVS"", ""ALKS""]","[""HLIO"", ""CVS"", ""AIZ""]",False,False,1,"[{""fresh_code"": ""AIZ"", ""fresh_strength"": [0, 3.79, -1.6516204725145227, ""AIZ""], ""standard_code"": ""ALKS"", ""standard_strength"": [0, 3.19, -1.6764775194211583, ""ALKS""]}]",True,1,"[{""fresh_code"": ""AIZ"", ""fresh_w4"": 2.8735, ""pair_delta_w4"": 13.5915, ""slot"": 3, ""standard_code"": ""ALKS"", ""standard_w4"": 16.465}]",True,6.2022,10.7327,6.2022,4.5305,4.5305,13.5915,True,True
2026-05-22,confirmation,"[""CMPR"", ""PDLB"", ""CLBK""]","[""CMPR"", ""PDLB"", ""CLBK""]","[""CMPR"", ""PDLB"", ""CLBK""]",False,False,0,[],False,0,[],False,-5.4187,-5.4187,-5.4187,0.0,0.0,,True,True
2026-05-29,confirmation,"[""BWA"", ""NBIX"", ""ILMN""]","[""BWA"", ""SHEN"", ""PKOH""]","[""BWA"", ""NBIX"", ""ILMN""]",False,False,6,"[{""fresh_code"": ""NBIX"", ""fresh_strength"": [0, 0.2, -1.6165769039137463, ""NBIX""], ""standard_code"": ""PKOH"", ""standard_strength"": [0, 0.18, -1.646597494534476, ""PKOH""]}, {""fresh_code"": ""ILMN"", ""fresh_strength"": [0, 4.02, -1.5145320941727023, ""ILMN""], ""standard_code"": ""PKOH"", ""standard_strength"": [0, 0.18, -1.646597494534476, ""PKOH""]}, {""fresh_code"": ""NBIX"", ""fresh_strength"": [0, 0.2, -1.6165769039137463, ""NBIX""], ""standard_code"": ""SHEN"", ""standard_strength"": [0, 0.19, -1.6392056907291572, ""SHEN""]}, {""fresh_code"": ""ILMN"", ""fresh_strength"": [0, 4.02, -1.5145320941727023, ""ILMN""], ""standard_code"": ""SHEN"", ""standard_strength"": [0, 0.19, -1.6392056907291572, ""SHEN""]}, {""fresh_code"": ""ILMN"", ""fresh_strength"": [0, 4.02, -1.5145320941727023, ""ILMN""], ""standard_code"": ""WEYS"", ""standard_strength"": [0, 1.12, -1.7584480600750938, ""WEYS""]}, {""fresh_code"": ""ILMN"", ""fresh_strength"": [0, 4.02, -1.5145320941727023, ""ILMN""], ""standard_code"": ""RVMD"", ""standard_strength"": [0, 1.14, -2.157772276040901, ""RVMD""]}]",True,2,"[{""fresh_code"": ""NBIX"", ""fresh_w4"": 5.748, ""pair_delta_w4"": -8.1485, ""slot"": 2, ""standard_code"": ""SHEN"", ""standard_w4"": -2.4005}, {""fresh_code"": ""ILMN"", ""fresh_w4"": 9.7606, ""pair_delta_w4"": 11.2839, ""slot"": 3, ""standard_code"": ""PKOH"", ""standard_w4"": 21.0445}]",True,3.9257,4.9709,3.9257,1.0452,1.0452,1.5677,True,True
