b0_eligible,current_lane,entry_status,setup_route,quality_state,composition_group,actionable_pullback_context_branch,non_actionable_pullback_context_branch,row_count,snapshot_count,unique_codes
True,constructive_pullback,ACTIONABLE,pullback,confirmed,confirmed_pullback,True,False,242,33,207
True,fresh_demand_alpha,ACTIONABLE,non_pullback,confirmed,confirmed_non_pullback,False,False,136,31,131
True,standard_breakout,ACTIONABLE,non_pullback,standard,standard,False,False,11,11,11
True,standard_breakout,ACTIONABLE,pullback,standard,standard,False,False,25,15,25
False,constructive_pullback,ACTIONABLE,pullback,confirmed,confirmed_pullback,True,False,16,14,14
False,constructive_pullback,UNCONFIRMED,pullback,incomplete,incomplete,False,True,904,41,543
False,fresh_demand_alpha,ACTIONABLE,non_pullback,confirmed,confirmed_non_pullback,False,False,4,4,4
False,incomplete_evidence,EXTENDED,non_pullback,incomplete,incomplete,False,False,147,28,140
False,incomplete_evidence,EXTENDED,pullback,incomplete,incomplete,False,False,195,35,169
False,incomplete_evidence,UNCONFIRMED,non_pullback,incomplete,incomplete,False,False,335,39,284
False,incomplete_evidence,UNCONFIRMED,pullback,incomplete,incomplete,False,False,290,36,224
False,standard_breakout,ACTIONABLE,non_pullback,standard,standard,False,False,3,3,3
False,standard_breakout,ACTIONABLE,pullback,standard,standard,False,False,5,4,4
False,tail_risk,ACTIONABLE,non_pullback,failure,failure,False,False,95,30,93
False,tail_risk,ACTIONABLE,pullback,failure,failure,False,False,196,32,177
False,tail_risk,EXTENDED,non_pullback,failure,failure,False,False,50,22,50
False,tail_risk,EXTENDED,pullback,failure,failure,False,False,84,23,79
