policy_id,role,mode,industry_policy,segment,support_weeks,challenger_mean,b0_mean,mean_spread,challenger_median,b0_median,median_spread,challenger_cvar10,b0_cvar10,cvar_delta,stop_delta_pct,one_pick_ruins_delta_pct,slot_coverage_pct,full_top3_rate_pct,jaccard_vs_b0,ci_low,ci_high,lowo_sign_stability,lowo_edge_concentration,lowo_fragile
TRACK_F__CONFIRMED_PARITY_FALLBACK,primary,parity_fallback,distinct_1,discovery_train_18,18,4.0524,3.2518,0.8005,2.2435,2.2435,0.0,-10.1525,-10.1525,0.0,-3.7,-5.56,57.41,27.78,0.9444,0.0,1.8407,1.0,0.6497,False
TRACK_F__CONFIRMED_ONLY_TOP3,primary,confirmed_only,distinct_1,discovery_train_18,18,4.0921,3.2518,0.8403,1.2249,2.2435,-1.0186,-4.9148,-10.1525,5.2377,-5.56,-5.56,50.0,16.67,0.8611,-0.5829,1.9563,1.0,0.45,False
TRACK_F__FCS_MAX1,primary,fcs_max1,distinct_1,discovery_train_18,18,2.4048,3.2518,-0.847,2.4754,2.2435,0.2319,-4.8111,-10.1525,5.3414,-9.26,-16.67,44.44,0.0,0.8287,-3.381,0.5343,0.0556,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,secondary,parity_fallback,pure_top3,discovery_train_18,18,3.4273,3.2518,0.1754,0.7823,2.2435,-1.4612,-10.1525,-10.1525,0.0,-1.85,0.0,61.11,33.33,0.8981,-1.6104,1.554,0.8889,0.6497,False
TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,secondary,confirmed_only,pure_top3,discovery_train_18,18,3.4671,3.2518,0.2152,0.4426,2.2435,-1.8009,-5.2951,-10.1525,4.8574,-3.7,0.0,53.7,22.22,0.8148,-2.0621,1.6688,0.8333,0.45,False
TRACK_F__FCS_MAX1_NO_IND,secondary,fcs_max1,pure_top3,discovery_train_18,18,1.868,3.2518,-1.3838,1.018,2.2435,-1.2255,-5.2951,-10.1525,4.8574,-7.41,-11.11,46.3,0.0,0.8009,-3.756,0.3036,0.0,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK,primary,parity_fallback,distinct_1,purge_4,4,-1.1359,0.1665,-1.3024,-1.0264,1.049,-2.0754,-6.1054,-5.0467,-1.0587,0.0,0.0,58.33,25.0,0.8,-1.3024,-1.3024,0.0,0.0,False
TRACK_F__CONFIRMED_ONLY_TOP3,primary,confirmed_only,distinct_1,purge_4,4,-1.8844,0.1665,-2.0509,-2.5234,1.049,-3.5724,-6.1054,-5.0467,-1.0587,0.0,0.0,50.0,25.0,0.55,-2.0509,-2.0509,0.0,0.0,False
TRACK_F__FCS_MAX1,primary,fcs_max1,distinct_1,purge_4,4,-0.2318,0.1665,-0.3983,0.1972,1.049,-0.8518,-4.9363,-5.0467,0.1104,-8.33,0.0,41.66,0.0,0.6875,-0.3983,-0.3983,0.25,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,secondary,parity_fallback,pure_top3,purge_4,4,-1.8162,0.1665,-1.9827,-1.0264,1.049,-2.0754,-8.8266,-5.0467,-3.7799,8.34,0.0,58.33,25.0,0.875,-1.9826,-1.9826,0.0,0.0,False
TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,secondary,confirmed_only,pure_top3,purge_4,4,-2.5647,0.1665,-2.7312,-2.5234,1.049,-3.5724,-8.8266,-5.0467,-3.7799,8.34,0.0,50.0,25.0,0.625,-2.7311,-2.7311,0.0,0.0,False
TRACK_F__FCS_MAX1_NO_IND,secondary,fcs_max1,pure_top3,purge_4,4,-0.2318,0.1665,-0.3983,0.1972,1.049,-0.8518,-4.9363,-5.0467,0.1104,-8.33,0.0,41.66,0.0,0.6875,-0.3983,-0.3983,0.25,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK,primary,parity_fallback,distinct_1,screening_6,6,1.3581,8.5791,-7.221,-2.926,6.941,-9.867,-10.6227,-7.5941,-3.0286,0.0,0.0,94.45,83.33,0.65,-7.221,0.34,0.0,0.0,False
TRACK_F__CONFIRMED_ONLY_TOP3,primary,confirmed_only,distinct_1,screening_6,6,1.3581,8.5791,-7.221,-2.926,6.941,-9.867,-10.6227,-7.5941,-3.0286,0.0,0.0,94.45,83.33,0.65,-7.221,0.34,0.0,0.0,False
TRACK_F__FCS_MAX1,primary,fcs_max1,distinct_1,screening_6,6,2.7324,8.5791,-5.8468,-1.834,6.941,-8.7751,-5.5569,-7.5941,2.0372,0.0,0.0,77.78,33.33,0.4972,-5.8468,0.9025,0.0,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,secondary,parity_fallback,pure_top3,screening_6,6,1.3581,8.5791,-7.221,-2.926,6.941,-9.867,-10.6227,-7.5941,-3.0286,0.0,0.0,94.45,83.33,0.65,-7.221,0.34,0.0,0.0,False
TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,secondary,confirmed_only,pure_top3,screening_6,6,1.3581,8.5791,-7.221,-2.926,6.941,-9.867,-10.6227,-7.5941,-3.0286,0.0,0.0,94.45,83.33,0.65,-7.221,0.34,0.0,0.0,False
TRACK_F__FCS_MAX1_NO_IND,secondary,fcs_max1,pure_top3,screening_6,6,2.2842,8.5791,-6.295,-1.834,6.941,-8.7751,-7.9621,-7.5941,-0.368,5.56,0.0,77.78,33.33,0.4972,-6.7092,0.0061,0.0,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK,primary,parity_fallback,distinct_1,confirmation_12,12,1.9715,2.352,-0.3804,0.4375,3.8492,-3.4117,-16.6568,-16.6568,0.0,5.55,16.67,100.0,100.0,0.375,-1.2683,1.115,0.1667,0.0,False
TRACK_F__CONFIRMED_ONLY_TOP3,primary,confirmed_only,distinct_1,confirmation_12,12,1.9715,2.352,-0.3804,0.4375,3.8492,-3.4117,-16.6568,-16.6568,0.0,5.55,16.67,100.0,100.0,0.375,-1.2683,1.115,0.1667,0.0,False
TRACK_F__FCS_MAX1,primary,fcs_max1,distinct_1,confirmation_12,12,1.8213,2.352,-0.5307,-0.772,3.8492,-4.6212,-14.507,-16.6568,2.1498,11.11,25.0,91.67,75.0,0.2125,-3.1562,1.8289,0.1667,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,secondary,parity_fallback,pure_top3,confirmation_12,12,2.6232,2.352,0.2712,2.608,3.8492,-1.2411,-18.9969,-16.6568,-2.3401,5.55,16.67,100.0,100.0,0.2917,-0.7296,2.4518,0.6667,0.2525,False
TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,secondary,confirmed_only,pure_top3,confirmation_12,12,2.6232,2.352,0.2712,2.608,3.8492,-1.2411,-18.9969,-16.6568,-2.3401,5.55,16.67,100.0,100.0,0.2917,-0.7296,2.4518,0.6667,0.2525,False
TRACK_F__FCS_MAX1_NO_IND,secondary,fcs_max1,pure_top3,confirmation_12,12,3.8659,2.352,1.514,0.8294,3.8492,-3.0198,-14.507,-16.6568,2.1498,11.11,25.0,91.67,75.0,0.2125,-3.1562,3.7254,0.9167,0.5689,False
TRACK_F__CONFIRMED_PARITY_FALLBACK,primary,parity_fallback,distinct_1,locked_forward_18,18,1.7671,4.4277,-2.6606,0.0219,3.8492,-3.8272,-16.6568,-16.6568,0.0,3.7,11.11,98.15,94.44,0.4667,-7.5194,0.4664,0.0,0.0,False
TRACK_F__CONFIRMED_ONLY_TOP3,primary,confirmed_only,distinct_1,locked_forward_18,18,1.7671,4.4277,-2.6606,0.0219,3.8492,-3.8272,-16.6568,-16.6568,0.0,3.7,11.11,98.15,94.44,0.4667,-7.5194,0.4664,0.0,0.0,False
