snapshot_date,policy_id,pick_count,selected_codes,composition_groups,setup_routes,industries,confirmed_non_pullback_count,confirmed_pullback_count,standard_count,incomplete_count,distinct_industry_count
2025-10-10,B0_ORIGINAL,0,[],[],[],[],0,0,0,0,0
2025-10-10,TRACK_F__CONFIRMED_PARITY_FALLBACK,0,[],[],[],[],0,0,0,0,0
2025-10-10,TRACK_F__CONFIRMED_ONLY_TOP3,0,[],[],[],[],0,0,0,0,0
2025-10-10,TRACK_F__FCS_MAX1,0,[],[],[],[],0,0,0,0,0
2025-10-10,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,0,[],[],[],[],0,0,0,0,0
2025-10-10,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,0,[],[],[],[],0,0,0,0,0
2025-10-10,TRACK_F__FCS_MAX1_NO_IND,0,[],[],[],[],0,0,0,0,0
2025-10-24,B0_ORIGINAL,2,"[""IBM"", ""AAPL""]","[""confirmed_non_pullback"", ""standard""]","[""non_pullback"", ""non_pullback""]","[""Unknown"", ""Telecommunications Equipment""]",1,0,1,0,2
2025-10-24,TRACK_F__CONFIRMED_PARITY_FALLBACK,2,"[""IBM"", ""AAPL""]","[""confirmed_non_pullback"", ""standard""]","[""non_pullback"", ""non_pullback""]","[""Unknown"", ""Telecommunications Equipment""]",1,0,1,0,2
2025-10-24,TRACK_F__CONFIRMED_ONLY_TOP3,1,"[""IBM""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-10-24,TRACK_F__FCS_MAX1,2,"[""IBM"", ""AAPL""]","[""confirmed_non_pullback"", ""standard""]","[""non_pullback"", ""non_pullback""]","[""Unknown"", ""Telecommunications Equipment""]",1,0,1,0,2
2025-10-24,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,2,"[""IBM"", ""AAPL""]","[""confirmed_non_pullback"", ""standard""]","[""non_pullback"", ""non_pullback""]","[""Unknown"", ""Telecommunications Equipment""]",1,0,1,0,2
2025-10-24,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,1,"[""IBM""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-10-24,TRACK_F__FCS_MAX1_NO_IND,2,"[""IBM"", ""AAPL""]","[""confirmed_non_pullback"", ""standard""]","[""non_pullback"", ""non_pullback""]","[""Unknown"", ""Telecommunications Equipment""]",1,0,1,0,2
2025-10-31,B0_ORIGINAL,2,"[""VTR"", ""SOFI""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Real Estate Investment Trusts"", ""Unknown""]",0,2,0,0,2
2025-10-31,TRACK_F__CONFIRMED_PARITY_FALLBACK,2,"[""VTR"", ""SOFI""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Real Estate Investment Trusts"", ""Unknown""]",0,2,0,0,2
2025-10-31,TRACK_F__CONFIRMED_ONLY_TOP3,2,"[""VTR"", ""SOFI""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Real Estate Investment Trusts"", ""Unknown""]",0,2,0,0,2
2025-10-31,TRACK_F__FCS_MAX1,1,"[""VTR""]","[""confirmed_pullback""]","[""pullback""]","[""Real Estate Investment Trusts""]",0,1,0,0,1
2025-10-31,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,2,"[""VTR"", ""SOFI""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Real Estate Investment Trusts"", ""Unknown""]",0,2,0,0,2
2025-10-31,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,2,"[""VTR"", ""SOFI""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Real Estate Investment Trusts"", ""Unknown""]",0,2,0,0,2
2025-10-31,TRACK_F__FCS_MAX1_NO_IND,1,"[""VTR""]","[""confirmed_pullback""]","[""pullback""]","[""Real Estate Investment Trusts""]",0,1,0,0,1
2025-11-07,B0_ORIGINAL,1,"[""COLL""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-11-07,TRACK_F__CONFIRMED_PARITY_FALLBACK,1,"[""COLL""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-11-07,TRACK_F__CONFIRMED_ONLY_TOP3,1,"[""COLL""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-11-07,TRACK_F__FCS_MAX1,1,"[""COLL""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-11-07,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,2,"[""COLL"", ""SEDG""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Unknown"", ""Unknown""]",1,1,0,0,1
2025-11-07,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,2,"[""COLL"", ""SEDG""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Unknown"", ""Unknown""]",1,1,0,0,1
2025-11-07,TRACK_F__FCS_MAX1_NO_IND,2,"[""COLL"", ""SEDG""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Unknown"", ""Unknown""]",1,1,0,0,1
2025-11-14,B0_ORIGINAL,3,"[""ALL"", ""LH"", ""LYFT""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""non_pullback"", ""pullback""]","[""Multi-Line Insurance"", ""Medical/Nursing Services"", ""Unknown""]",2,1,0,0,3
2025-11-14,TRACK_F__CONFIRMED_PARITY_FALLBACK,3,"[""ALL"", ""LH"", ""LYFT""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""non_pullback"", ""pullback""]","[""Multi-Line Insurance"", ""Medical/Nursing Services"", ""Unknown""]",2,1,0,0,3
2025-11-14,TRACK_F__CONFIRMED_ONLY_TOP3,3,"[""ALL"", ""LH"", ""LYFT""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""non_pullback"", ""pullback""]","[""Multi-Line Insurance"", ""Medical/Nursing Services"", ""Unknown""]",2,1,0,0,3
2025-11-14,TRACK_F__FCS_MAX1,2,"[""ALL"", ""LYFT""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Multi-Line Insurance"", ""Unknown""]",1,1,0,0,2
2025-11-14,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,3,"[""ALL"", ""LH"", ""LYFT""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""non_pullback"", ""pullback""]","[""Multi-Line Insurance"", ""Medical/Nursing Services"", ""Unknown""]",2,1,0,0,3
2025-11-14,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,3,"[""ALL"", ""LH"", ""LYFT""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""non_pullback"", ""pullback""]","[""Multi-Line Insurance"", ""Medical/Nursing Services"", ""Unknown""]",2,1,0,0,3
2025-11-14,TRACK_F__FCS_MAX1_NO_IND,2,"[""ALL"", ""LYFT""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Multi-Line Insurance"", ""Unknown""]",1,1,0,0,2
2025-11-21,B0_ORIGINAL,1,"[""WMT""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-11-21,TRACK_F__CONFIRMED_PARITY_FALLBACK,1,"[""WMT""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-11-21,TRACK_F__CONFIRMED_ONLY_TOP3,1,"[""WMT""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-11-21,TRACK_F__FCS_MAX1,1,"[""WMT""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-11-21,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,1,"[""WMT""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-11-21,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,1,"[""WMT""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-11-21,TRACK_F__FCS_MAX1_NO_IND,1,"[""WMT""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2025-11-28,B0_ORIGINAL,3,"[""MNST"", ""ROST"", ""WFC""]","[""confirmed_pullback"", ""standard"", ""standard""]","[""pullback"", ""pullback"", ""pullback""]","[""Beverages: Non-Alcoholic"", ""Apparel/Footwear Retail"", ""Major Banks""]",0,1,2,0,3
2025-11-28,TRACK_F__CONFIRMED_PARITY_FALLBACK,3,"[""MNST"", ""ROST"", ""WFC""]","[""confirmed_pullback"", ""standard"", ""standard""]","[""pullback"", ""pullback"", ""pullback""]","[""Beverages: Non-Alcoholic"", ""Apparel/Footwear Retail"", ""Major Banks""]",0,1,2,0,3
2025-11-28,TRACK_F__CONFIRMED_ONLY_TOP3,1,"[""MNST""]","[""confirmed_pullback""]","[""pullback""]","[""Beverages: Non-Alcoholic""]",0,1,0,0,1
2025-11-28,TRACK_F__FCS_MAX1,2,"[""MNST"", ""ROST""]","[""confirmed_pullback"", ""standard""]","[""pullback"", ""pullback""]","[""Beverages: Non-Alcoholic"", ""Apparel/Footwear Retail""]",0,1,1,0,2
2025-11-28,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,3,"[""MNST"", ""ROST"", ""WFC""]","[""confirmed_pullback"", ""standard"", ""standard""]","[""pullback"", ""pullback"", ""pullback""]","[""Beverages: Non-Alcoholic"", ""Apparel/Footwear Retail"", ""Major Banks""]",0,1,2,0,3
2025-11-28,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,1,"[""MNST""]","[""confirmed_pullback""]","[""pullback""]","[""Beverages: Non-Alcoholic""]",0,1,0,0,1
2025-11-28,TRACK_F__FCS_MAX1_NO_IND,2,"[""MNST"", ""ROST""]","[""confirmed_pullback"", ""standard""]","[""pullback"", ""pullback""]","[""Beverages: Non-Alcoholic"", ""Apparel/Footwear Retail""]",0,1,1,0,2
2025-12-05,B0_ORIGINAL,1,"[""DASH""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Air Freight/Couriers""]",1,0,0,0,1
2025-12-05,TRACK_F__CONFIRMED_PARITY_FALLBACK,1,"[""DASH""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Air Freight/Couriers""]",1,0,0,0,1
2025-12-05,TRACK_F__CONFIRMED_ONLY_TOP3,1,"[""DASH""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Air Freight/Couriers""]",1,0,0,0,1
2025-12-05,TRACK_F__FCS_MAX1,1,"[""DASH""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Air Freight/Couriers""]",1,0,0,0,1
2025-12-05,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,1,"[""DASH""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Air Freight/Couriers""]",1,0,0,0,1
2025-12-05,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,1,"[""DASH""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Air Freight/Couriers""]",1,0,0,0,1
2025-12-05,TRACK_F__FCS_MAX1_NO_IND,1,"[""DASH""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Air Freight/Couriers""]",1,0,0,0,1
2025-12-12,B0_ORIGINAL,0,[],[],[],[],0,0,0,0,0
2025-12-12,TRACK_F__CONFIRMED_PARITY_FALLBACK,0,[],[],[],[],0,0,0,0,0
2025-12-12,TRACK_F__CONFIRMED_ONLY_TOP3,0,[],[],[],[],0,0,0,0,0
2025-12-12,TRACK_F__FCS_MAX1,0,[],[],[],[],0,0,0,0,0
2025-12-12,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,0,[],[],[],[],0,0,0,0,0
2025-12-12,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,0,[],[],[],[],0,0,0,0,0
2025-12-12,TRACK_F__FCS_MAX1_NO_IND,0,[],[],[],[],0,0,0,0,0
2025-12-19,B0_ORIGINAL,3,"[""SCHW"", ""PLTR"", ""MU""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""non_pullback"", ""pullback""]","[""Investment Banks/Brokers"", ""Packaged Software"", ""Semiconductors""]",2,1,0,0,3
2025-12-19,TRACK_F__CONFIRMED_PARITY_FALLBACK,3,"[""MU"", ""SCHW"", ""HLT""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""pullback"", ""non_pullback"", ""pullback""]","[""Semiconductors"", ""Investment Banks/Brokers"", ""Hotels/Resorts/Cruise lines""]",1,2,0,0,3
2025-12-19,TRACK_F__CONFIRMED_ONLY_TOP3,3,"[""MU"", ""SCHW"", ""HLT""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""pullback"", ""non_pullback"", ""pullback""]","[""Semiconductors"", ""Investment Banks/Brokers"", ""Hotels/Resorts/Cruise lines""]",1,2,0,0,3
2025-12-19,TRACK_F__FCS_MAX1,2,"[""MU"", ""SCHW""]","[""confirmed_pullback"", ""confirmed_non_pullback""]","[""pullback"", ""non_pullback""]","[""Semiconductors"", ""Investment Banks/Brokers""]",1,1,0,0,2
2025-12-19,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,3,"[""MU"", ""SCHW"", ""HLT""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""pullback"", ""non_pullback"", ""pullback""]","[""Semiconductors"", ""Investment Banks/Brokers"", ""Hotels/Resorts/Cruise lines""]",1,2,0,0,3
2025-12-19,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,3,"[""MU"", ""SCHW"", ""HLT""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""pullback"", ""non_pullback"", ""pullback""]","[""Semiconductors"", ""Investment Banks/Brokers"", ""Hotels/Resorts/Cruise lines""]",1,2,0,0,3
2025-12-19,TRACK_F__FCS_MAX1_NO_IND,2,"[""MU"", ""SCHW""]","[""confirmed_pullback"", ""confirmed_non_pullback""]","[""pullback"", ""non_pullback""]","[""Semiconductors"", ""Investment Banks/Brokers""]",1,1,0,0,2
2025-12-26,B0_ORIGINAL,2,"[""HEI"", ""HUT""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Aerospace & Defense"", ""Data Processing Services""]",1,1,0,0,2
2025-12-26,TRACK_F__CONFIRMED_PARITY_FALLBACK,2,"[""HEI"", ""HUT""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Aerospace & Defense"", ""Data Processing Services""]",1,1,0,0,2
2025-12-26,TRACK_F__CONFIRMED_ONLY_TOP3,2,"[""HEI"", ""HUT""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Aerospace & Defense"", ""Data Processing Services""]",1,1,0,0,2
2025-12-26,TRACK_F__FCS_MAX1,2,"[""HEI"", ""HUT""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Aerospace & Defense"", ""Data Processing Services""]",1,1,0,0,2
2025-12-26,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,2,"[""HEI"", ""HUT""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Aerospace & Defense"", ""Data Processing Services""]",1,1,0,0,2
2025-12-26,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,2,"[""HEI"", ""HUT""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Aerospace & Defense"", ""Data Processing Services""]",1,1,0,0,2
2025-12-26,TRACK_F__FCS_MAX1_NO_IND,2,"[""HEI"", ""HUT""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Aerospace & Defense"", ""Data Processing Services""]",1,1,0,0,2
2026-01-02,B0_ORIGINAL,1,"[""FTAI""]","[""confirmed_pullback""]","[""pullback""]","[""Unknown""]",0,1,0,0,1
2026-01-02,TRACK_F__CONFIRMED_PARITY_FALLBACK,1,"[""FTAI""]","[""confirmed_pullback""]","[""pullback""]","[""Unknown""]",0,1,0,0,1
2026-01-02,TRACK_F__CONFIRMED_ONLY_TOP3,1,"[""FTAI""]","[""confirmed_pullback""]","[""pullback""]","[""Unknown""]",0,1,0,0,1
2026-01-02,TRACK_F__FCS_MAX1,1,"[""FTAI""]","[""confirmed_pullback""]","[""pullback""]","[""Unknown""]",0,1,0,0,1
2026-01-02,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,1,"[""FTAI""]","[""confirmed_pullback""]","[""pullback""]","[""Unknown""]",0,1,0,0,1
2026-01-02,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,1,"[""FTAI""]","[""confirmed_pullback""]","[""pullback""]","[""Unknown""]",0,1,0,0,1
2026-01-02,TRACK_F__FCS_MAX1_NO_IND,1,"[""FTAI""]","[""confirmed_pullback""]","[""pullback""]","[""Unknown""]",0,1,0,0,1
2026-01-09,B0_ORIGINAL,1,"[""GH""]","[""confirmed_pullback""]","[""pullback""]","[""Medical Specialties""]",0,1,0,0,1
2026-01-09,TRACK_F__CONFIRMED_PARITY_FALLBACK,1,"[""GH""]","[""confirmed_pullback""]","[""pullback""]","[""Medical Specialties""]",0,1,0,0,1
2026-01-09,TRACK_F__CONFIRMED_ONLY_TOP3,1,"[""GH""]","[""confirmed_pullback""]","[""pullback""]","[""Medical Specialties""]",0,1,0,0,1
2026-01-09,TRACK_F__FCS_MAX1,1,"[""GH""]","[""confirmed_pullback""]","[""pullback""]","[""Medical Specialties""]",0,1,0,0,1
2026-01-09,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,1,"[""GH""]","[""confirmed_pullback""]","[""pullback""]","[""Medical Specialties""]",0,1,0,0,1
2026-01-09,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,1,"[""GH""]","[""confirmed_pullback""]","[""pullback""]","[""Medical Specialties""]",0,1,0,0,1
