code,snapshot_date,signal,signal_source,bf_watch_active,bf_watch_s_resistance,bf_watch_s_distance_pct,bf_watch_s_side,bf_watch_m_resistance,bf_watch_m_distance_pct,bf_watch_m_side,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type
ABBV,2026-09-14,True,pivot,,,,,,,,True,pivot,261.64,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 261.64, ""resistance_date"": ""2026-09-14""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,261.7699890136719,0.05,UNCONFIRMED,0.2031396104232292,3.3,2026-06-22,9.9,2,1,238.1499938964844,2025-11-17,-19.9,2,31,19.9,2,5.0,-7.6,-1.9,True,False,288.0343511450382,267.4700012207031,-2.131084675297057,Health Technology,Pharmaceuticals: Major,TV_DIRECT,resolved,,
ACT,2026-09-14,True,10_wk_ema_touch_confirm,,,,,,,,False,ma10_touch_confirm,50.0,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-09-14"", ""ma10_prior_week"": 48.121, ""pending_high"": 50.0, ""touch_date"": ""2026-08-31""}",0.0,,,,,,,,,daily_volume_not_confirmed,50.06999969482422,0.14,UNCONFIRMED,0.2125482311725366,25.9,2026-01-26,27.5,6,2,39.2599983215332,2025-09-22,-11.8,1,18,11.8,5,6.0,-4.2,-0.4,True,False,11.91951854845954,50.560001373291016,-0.9691488630489742,Finance,Multi-Line Insurance,TV_DIRECT,resolved,,
AWR,2026-09-14,True,ceiling_breakout,,,,,,,,,ceiling,86.86,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,87.12000274658203,0.3,UNCONFIRMED,0.1719562092226031,0.0,2026-09-14,0.3,0,0,86.86000061035156,2024-07-29,-20.0,9,111,20.0,0,,,,False,False,25.75862068965518,91.72000122070312,-5.0152621161138615,Utilities,Water Utilities,TV_DIRECT,resolved,,
BCAL,2026-09-14,True,pivot,,,,,,,,False,pivot,21.98,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 21.98, ""resistance_date"": ""2026-09-14""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,22.030000686645508,0.23,UNCONFIRMED,0.288005051928867,5.8,2026-06-22,7.6,1,0,20.469999313354492,2025-12-08,-17.6,2,28,17.6,5,3.0,-2.8,0.3,True,False,2.3180343069077445,22.209999084472656,-0.8104385648218582,Finance,Regional Banks,TV_DIRECT,resolved,,
CNC,2026-09-14,True,ceiling_breakout,,,,,,,,,ceiling,69.29,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,69.41000366210938,0.17,UNCONFIRMED,0.2031436526098285,0.0,2026-09-14,0.2,0,0,69.29000091552734,2026-06-29,-18.2,1,11,18.2,0,,,,True,False,529.4117647059,69.62999725341797,-0.3159465747326284,Health Services,Managed Health Care,YahooLiveObserved,resolved,,TURNAROUND
CON,2026-09-14,True,pivot,,,,,,,,True,pivot,35.52,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 35.52, ""resistance_date"": ""2026-09-14""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,35.810001373291016,0.82,UNCONFIRMED,0.2875627909423244,38.4,2026-05-11,46.4,2,0,24.46500015258789,2025-08-25,-24.2,3,37,24.2,3,6.0,-6.2,0.8,True,False,45.64774381368266,36.04999923706055,-0.6657361133112216,Health Services,Medical/Nursing Services,TV_DIRECT,resolved,,
CRWD,2026-09-14,True,pivot,,,,,,,,False,pivot,229.08,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 229.08, ""resistance_date"": ""2026-09-14""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 229.08, ""resistance_date"": ""2026-09-14""}}",1.0,2026-09-14,229.08,229.08,2.7936280636495967,0.0275013309010498,0.828902590396251,0.2701546752304354,pivot,,235.3800048828125,2.75,ACTIONABLE,0.5960916164598329,58.5,2026-05-11,70.1,1,0,138.41000366210938,2025-10-27,-38.1,2,28,38.1,5,4.0,-12.4,2.8,True,False,112.9032258065,239.3699951171875,-1.6668715025964898,Technology Services,Packaged Software,YahooLiveObserved,resolved,,TURNAROUND
CVLG,2026-09-14,True,pivot,,,,,,,,False,pivot,35.64,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 35.64, ""resistance_date"": ""2026-09-14""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,35.939998626708984,0.84,UNCONFIRMED,0.2920154992069706,17.9,2026-04-13,20.8,1,0,29.739999771118164,2023-07-24,-41.3,7,142,41.3,3,10.0,-33.1,-27.1,True,False,-11.178749308245708,49.880001068115234,-27.94707727124952,Transportation,Trucking,TV_DIRECT,resolved,,
DBX,2026-09-14,True,ceiling_breakout,,,,,,,,True,ceiling_pullback,35.85,ceiling_breakout,"{""abandon_line"": 32.19299850463867, ""atr_zone_width"": 0.7328938074276622, ""ceiling"": 32.849998474121094, ""confirm_close"": 37.310001373291016, ""confirm_date"": ""2026-09-14"", ""max_zone_width"": 1.6424999237060547, ""pending_high"": 35.849998474121094, ""touch_atr14"": 2.4429793580922072, ""touch_date"": ""2026-09-07"", ""touch_high"": 35.849998474121094, ""touch_low"": 33.494998931884766, ""zone_cap_applied"": false, ""zone_pct"": 2.2310314808843255, ""zone_upper"": 33.58289228154876, ""zone_width"": 0.7328938074276622}",0.0,,,,,,,,,daily_volume_not_confirmed,37.310001373291016,4.07,UNCONFIRMED,0.2373049438203504,7.2,2026-08-03,13.6,1,0,32.849998474121094,2025-02-10,-34.0,6,77,34.0,2,4.0,-7.9,2.6,True,False,-6.939854593522808,37.38999938964844,-0.213955650343145,Technology Services,Packaged Software,TV_DIRECT,resolved,,
DDOG,2026-09-14,True,ceiling_breakout,,,,,,,,True,ceiling_pullback,227.58,ceiling_breakout,"{""abandon_line"": 190.97259521484375, ""atr_zone_width"": 9.498523018771161, ""ceiling"": 194.8699951171875, ""confirm_close"": 230.0500030517578, ""confirm_date"": ""2026-09-14"", ""max_zone_width"": 9.743499755859375, ""pending_high"": 227.5800018310547, ""touch_atr14"": 31.661743395903873, ""touch_date"": ""2026-09-07"", ""touch_high"": 227.5800018310547, ""touch_low"": 203.24000549316406, ""zone_cap_applied"": false, ""zone_pct"": 4.874287092304336, ""zone_upper"": 204.36851813595865, ""zone_width"": 9.498523018771161}",0.0,,,,,,,,,daily_volume_not_confirmed,230.0500030517578,1.09,UNCONFIRMED,0.1464003804567998,14.9,2026-05-04,18.1,1,0,194.8699951171875,2025-11-03,-49.7,2,26,49.7,3,8.0,-27.1,-17.5,True,False,1551.3513513513512,292.7200012207031,-21.409537410357483,Technology Services,Packaged Software,TV_DIRECT,resolved,,
