ticker,code,close,SMA10|1W,SMA40|1W,sector,industry,eps_yoy_growth,price_52_week_high
NASDAQ:NVDA,NVDA,214.72,208.32500000000005,194.80100000000007,Electronic Technology,Semiconductors,213.4224669026084,236.54
NASDAQ:AAPL,AAPL,309.35,311.00200000000007,281.89200000000005,Electronic Technology,Telecommunications Equipment,29.131849205842947,344.5699
NASDAQ:GOOGL,GOOGL,344.82,349.01699999999977,335.15575,Technology Services,Internet Software/Services,294.01687216093444,408.61
NASDAQ:GOOG,GOOG,341.75,347.39799999999985,334.11675000000014,Technology Services,Internet Software/Services,294.01687216093444,404.47
NASDAQ:AMZN,AMZN,258.63,251.17699999999996,237.92150000000007,Retail Trade,Internet Retail,241.8287822000119,287.2
NYSE:TSM,TSM,418.95,423.4110000000002,369.5544999999999,Electronic Technology,Semiconductors,73.31188417454254,479.0
NYSE:LLY,LLY,1255.4,1185.4429999999993,1060.4392500000001,Health Technology,Pharmaceuticals: Major,26.18654035667737,1292.65
NASDAQ:MU,MU,966.78,963.012,587.1047500000001,Electronic Technology,Semiconductors,1372.0935784196706,1255.0
NYSE:BRK.A,BRK.A,743500.0,750683.5760000004,738494.0267500002,Finance,Property/Casualty Insurance,107.75105381474835,806102.81
NYSE:BRK.B,BRK.B,495.82,500.86399999999975,492.2547499999993,Finance,Property/Casualty Insurance,107.75214077678368,537.74
NYSE:JPM,JPM,351.58,344.32500000000005,316.4085000000001,Finance,Major Banks,47.084097158570124,366.5
NASDAQ:AMD,AMD,473.25,509.95199999999994,335.70674999999994,Electronic Technology,Semiconductors,158.803738317757,584.73
NYSE:V,V,371.04,355.26899999999983,332.11875,Finance,Finance/Rental/Leasing,10.412522052475511,373.97
NYSE:XOM,XOM,165.11,148.83099999999996,143.55399999999997,Energy Minerals,Integrated Oil,112.81188845401175,176.41
NASDAQ:ASML,ASML,1763.76,1777.3439999999998,1467.5039999999988,Electronic Technology,Semiconductors,31.86558343432529,1999.96
NYSE:JNJ,JNJ,270.24,256.56899999999985,234.14050000000015,Health Technology,Pharmaceuticals: Major,-0.9174712744112853,276.47
NYSE:MA,MA,580.63,542.417,527.84925,Finance,Finance/Rental/Leasing,22.053297310573495,601.6199
NASDAQ:INTC,INTC,90.07,106.42799999999997,73.34175000000002,Electronic Technology,Semiconductors,-223.64126366222487,142.35
NYSE:ABBV,ABBV,264.96,250.42400000000004,227.18250000000018,Health Technology,Pharmaceuticals: Major,288.0343511450382,267.47
NASDAQ:CSCO,CSCO,111.04,115.35600000000007,93.9635,Electronic Technology,Telecommunications Equipment,37.16063348416288,130.3656
NYSE:BAC,BAC,61.69,60.709999999999994,54.48599999999997,Finance,Major Banks,34.260289210233594,65.225
NYSE:CVX,CVX,205.27,186.11199999999985,179.78249999999997,Energy Minerals,Integrated Oil,323.27562326869804,214.71
NASDAQ:LRCX,LRCX,314.0,333.91100000000006,258.2085000000001,Producer Manufacturing,Industrial Machinery,34.60282108389012,438.5
NYSE:KO,KO,91.1,84.69099999999989,78.05274999999997,Consumer Non-Durables,Beverages: Non-Alcoholic,16.194790486976217,91.865
NASDAQ:AMAT,AMAT,492.32,556.171,403.410125,Producer Manufacturing,Industrial Machinery,43.02136867730592,739.67
NYSE:CAT,CAT,827.9,900.9709999999999,769.413875,Producer Manufacturing,Trucks/Construction/Farm Machinery,68.10057558315661,1073.46
NYSE:MRK,MRK,152.55,130.137,117.49724999999998,Health Technology,Pharmaceuticals: Major,-130.68233424159857,154.49
NYSE:GE,GE,348.37,361.28899999999993,320.51549999999986,Electronic Technology,Aerospace & Defense,19.539501478664974,388.84
NYSE:HSBC,HSBC,104.15,100.66899999999995,88.40449999999997,Finance,Major Banks,70.76277650648362,107.9199
NYSE:UNH,UNH,390.11,413.8979999999997,350.303,Health Services,Managed Health Care,61.71952229554623,461.62
NYSE:MS,MS,214.2,215.96999999999989,189.48875,Finance,Investment Managers,62.71075001174092,232.25
